RPM;Nm;g/sec;g/kW*hr;%;D
588;6.33;0.2479;2290.1;3.8;4.3
588;19.66;0.2721;809.8;10.6;
588;32.71;0.3039;543.5;15.8;
588;51.49;0.3522;400.2;21.5;
588;58.20;0.3725;374.4;23.0;
588;63.19;0.3880;359.2;24.0;
588;71.53;0.4146;339.1;25.4;
588;86.93;0.4650;312.9;27.5;
588;99.70;0.5067;297.3;29.0;
588;105.44;0.5257;291.7;29.5;
588;117.29;0.5659;282.2;30.5;
588;131.70;0.6208;275.8;31.2;
588;142.78;0.6690;274.1;31.4;
588;166.38;0.7899;277.7;31.0;
588;187.68;0.8895;277.3;31.0;
800;6.33;0.2920;1981.2;4.3;
800;19.66;0.3339;730.0;11.8;
800;32.71;0.3972;521.9;16.5;
800;51.49;0.4675;390.2;22.1;
800;58.20;0.4961;366.3;23.5;
800;63.19;0.5181;352.3;24.4;
800;71.53;0.5565;334.3;25.7;
800;86.93;0.6298;311.4;27.6;
800;99.70;0.6892;297.0;29.0;
800;105.44;0.7162;291.9;29.5;
800;117.29;0.7725;283.0;30.4;
800;131.70;0.8416;274.6;31.3;
800;142.78;0.9012;271.2;31.7;
800;166.38;1.0558;272.7;31.6;
800;187.68;1.1650;266.7;32.3;
800;208.99;1.2879;264.8;32.5;
800;228.10;1.4451;272.2;31.6;
800;247.95;1.5784;273.6;31.5;
800;267.80;1.7690;283.9;30.3;
994;6.33;0.3325;1816.0;4.7;
994;19.66;0.3799;668.5;12.9;
994;32.71;0.4817;509.5;16.9;
994;51.49;0.5766;387.4;22.2;
994;58.20;0.6109;363.1;23.7;
994;63.19;0.6370;348.7;24.7;
994;71.53;0.6826;330.1;26.1;
994;86.93;0.7779;309.6;27.8;
994;99.70;0.8550;296.6;29.0;
994;105.44;0.8906;292.2;29.5;
994;117.29;0.9652;284.7;30.2;
994;131.70;1.0463;274.8;31.3;
994;142.78;1.1137;269.8;31.9;
994;166.38;1.2958;269.4;31.9;
994;187.68;1.4189;261.5;32.9;
994;208.99;1.5475;256.2;33.6;
994;228.10;1.7102;259.4;33.2;
994;247.95;1.8678;260.6;33.0;
994;267.80;2.1210;274.0;31.4;
994;286.64;2.3673;285.7;30.1;
