RPM;Nm;g/sec;g/kW*hr;%;D;;
1001;25.22;0.3154;429.5;19.5;2.694;;
1001;55.54;0.4745;293.4;28.6;;;
1001;80.16;0.6311;270.4;31.0;;;
1001;104.38;0.8150;268.1;31.3;;;
1001;117.65;0.9154;267.2;31.4;;;
1001;144.49;1.1138;264.7;31.7;;;
1001;178.61;1.4323;275.3;30.5;;;
1001;199.14;1.6379;282.4;29.7;;;
1001;225.90;1.9072;289.9;28.9;;;
1251;25.22;0.3748;408.4;20.5;;;
1251;55.54;0.6049;299.3;28.0;;;
1251;80.16;0.8013;274.7;30.5;;;
1251;104.38;1.0048;264.5;31.7;;;
1251;117.65;1.1115;259.6;32.3;;;
1251;144.49;1.3295;252.8;33.2;;;
1251;178.61;1.7041;262.2;32.0;;;
1251;199.14;1.9140;264.1;31.8;;;
1251;225.90;2.2118;269.0;31.2;;;
1251;250.62;2.4904;273.0;30.7;;;
1251;280.41;2.8800;282.2;29.7;;;
1501;25.22;0.4419;401.3;20.9;;;
1501;55.54;0.7247;298.8;28.1;;;
1501;80.16;0.9661;276.0;30.4;;;
1501;104.38;1.1945;262.1;32.0;;;
1501;117.65;1.3191;256.8;32.7;;;
1501;144.49;1.5798;250.4;33.5;;;
1501;178.61;1.9550;250.7;33.5;;;
1501;199.14;2.1797;250.7;33.5;;;
1501;225.90;2.4628;249.7;33.6;;;
1501;250.62;2.7667;252.8;33.2;;;
1501;280.41;3.1612;258.2;32.5;;;
1501;315.27;3.5647;258.9;32.4;;;
1501;344.01;3.9293;261.6;32.1;;;
1751;25.22;0.5151;401.0;20.9;;;
1751;55.54;0.8646;305.6;27.5;;;
1751;80.16;1.1259;275.8;30.4;;;
1751;104.38;1.3873;260.9;32.2;;;
1751;117.65;1.5378;256.6;32.7;;;
1751;144.49;1.8358;249.4;33.6;;;
1751;178.61;2.2260;244.7;34.3;;;
1751;199.14;2.4588;242.4;34.6;;;
1751;225.90;2.7515;239.1;35.1;;;
1751;250.62;3.0766;241.0;34.8;;;
1751;280.41;3.4668;242.7;34.6;;;
1751;315.27;3.9732;247.4;33.9;;;
1751;344.01;4.4744;255.3;32.9;;;
1751;376.65;5.0155;261.4;32.1;;;
1751;405.26;5.4446;263.8;31.8;;;
2001;25.22;0.6143;418.5;20.0;;;
2001;55.54;1.0085;312.0;26.9;;;
2001;80.16;1.2793;274.2;30.6;;;
2001;104.38;1.5803;260.1;32.3;;;
2001;117.65;1.7525;255.9;32.8;;;
2001;144.49;2.0945;249.0;33.7;;;
2001;178.61;2.5137;241.8;34.7;;;
2001;199.14;2.7646;238.5;35.2;;;
2001;225.90;3.0929;235.2;35.7;;;
2001;250.62;3.4356;235.5;35.6;;;
2001;280.41;3.8450;235.6;35.6;;;
2001;315.27;4.4051;240.0;35.0;;;
2001;344.01;5.0242;250.9;33.4;;;
2001;376.65;5.6951;259.8;32.3;;;
2001;405.26;6.2042;263.0;31.9;;;
2001;438.69;6.8311;267.5;31.4;;;
2251;25.22;0.7289;441.4;19.0;;;
2251;55.54;1.1560;317.9;26.4;;;
2251;80.16;1.4551;277.2;30.3;;;
2251;104.38;1.7937;262.4;32.0;;;
2251;117.65;1.9848;257.6;32.6;;;
2251;144.49;2.3661;250.1;33.6;;;
2251;178.61;2.8186;241.0;34.8;;;
2251;199.14;3.0980;237.6;35.3;;;
2251;225.90;3.4716;234.7;35.8;;;
2251;250.62;3.8390;233.9;35.9;;;
2251;280.41;4.2750;232.8;36.0;;;
2251;315.27;4.8469;234.8;35.7;;;
2251;344.01;5.5210;245.1;34.2;;;
2251;376.65;6.3314;256.7;32.7;;;
2251;405.26;6.9613;262.3;32.0;;;
2251;438.69;7.8506;273.3;30.7;;;
2251;469.19;8.7937;286.2;29.3;;;
2501;25.22;0.8445;460.3;18.2;;;
2501;55.54;1.3011;322.0;26.1;;;
2501;80.16;1.6432;281.8;29.8;;;
2501;104.38;2.0249;266.7;31.5;;;
2501;117.65;2.2347;261.1;32.1;;;
