RPM;Nm;g/sec;g/kW*hr;%;D;;
723;6.43;0.1372;1014.4;8.5;1.496;;
723;19.54;0.1831;445.7;19.3;;;
723;32.47;0.2388;349.9;24.6;;;
723;38.48;0.2655;328.3;26.2;;;
723;42.27;0.2823;317.7;27.1;;;
723;52.24;0.3254;296.4;29.0;;;
723;67.42;0.3923;276.8;31.1;;;
723;79.67;0.4589;274.1;31.4;;;
1001;6.43;0.1483;791.8;10.9;;;
1001;19.54;0.2253;396.1;21.7;;;
1001;32.47;0.3078;325.7;26.4;;;
1001;38.48;0.3450;308.0;28.0;;;
1001;42.27;0.3680;299.1;28.8;;;
1001;52.24;0.4260;280.1;30.7;;;
1001;67.42;0.5195;264.7;32.5;;;
1001;79.67;0.6184;266.6;32.3;;;
1001;92.62;0.7197;266.9;32.3;;;
1001;102.08;0.7922;266.6;32.3;;;
1001;115.37;0.8993;267.7;32.2;;;
1251;6.43;0.1807;772.0;11.2;;;
1251;19.54;0.2795;393.0;21.9;;;
1251;32.47;0.3738;316.4;27.2;;;
1251;38.48;0.4171;297.9;28.9;;;
1251;42.27;0.4440;288.6;29.8;;;
1251;52.24;0.5123;269.5;32.0;;;
1251;67.42;0.6303;256.9;33.5;;;
1251;79.67;0.7589;261.8;32.9;;;
1251;92.62;0.8831;262.0;32.9;;;
1251;102.08;0.9729;261.9;32.9;;;
1251;115.37;1.1160;265.8;32.4;;;
1251;126.01;1.2593;274.6;31.4;;;
1500;6.43;0.2216;789.3;10.9;;;
1500;19.54;0.3340;391.6;22.0;;;
1500;32.47;0.4443;313.6;27.5;;;
1500;38.48;0.4924;293.3;29.4;;;
1500;42.27;0.5222;283.1;30.4;;;
1500;52.24;0.5982;262.4;32.8;;;
1500;67.42;0.7327;249.0;34.6;;;
1500;79.67;0.8723;250.9;34.3;;;
1500;92.62;1.0248;253.6;34.0;;;
1500;102.08;1.1232;252.1;34.1;;;
1500;115.37;1.2782;253.9;33.9;;;
1500;126.01;1.4066;255.8;33.7;;;
1500;140.31;1.5795;258.0;33.4;;;
1500;156.03;1.8123;266.2;32.4;;;
1500;166.64;1.9923;274.0;31.4;;;
1500;175.27;2.1947;286.9;30.0;;;
1500;187.45;2.5023;305.9;28.1;;;
1603;6.43;0.2389;796.7;10.8;;;
1603;19.54;0.3572;392.1;22.0;;;
1603;32.47;0.4743;313.4;27.5;;;
1603;38.48;0.5247;292.5;29.4;;;
1603;42.27;0.5559;282.1;30.5;;;
1603;52.24;0.6359;261.1;33.0;;;
1603;67.42;0.7771;247.2;34.8;;;
1603;79.67;0.9221;248.3;34.7;;;
1603;92.62;1.0825;250.7;34.3;;;
1603;102.08;1.1856;249.1;34.6;;;
1603;115.37;1.3444;250.0;34.4;;;
1603;126.01;1.4748;251.1;34.3;;;
1603;140.31;1.6635;254.3;33.9;;;
1603;156.03;1.9076;262.3;32.8;;;
1603;166.64;2.0845;268.3;32.1;;;
1603;175.27;2.2758;278.5;30.9;;;
1603;187.45;2.5822;295.5;29.1;;;
1603;197.89;2.7661;299.8;28.7;;;
1603;202.54;2.8700;304.0;28.3;;;
1752;6.43;0.2642;805.8;10.7;;;
1752;19.54;0.3916;393.2;21.9;;;
1752;32.47;0.5188;313.5;27.5;;;
1752;38.48;0.5730;292.2;29.5;;;
1752;42.27;0.6065;281.5;30.6;;;
1752;52.24;0.6928;260.2;33.1;;;
1752;67.42;0.8433;245.4;35.1;;;
1752;79.67;0.9965;245.4;35.1;;;
1752;92.62;1.1667;247.2;34.8;;;
1752;102.08;1.2766;245.4;35.1;;;
1752;115.37;1.4417;245.2;35.1;;;
1752;126.01;1.5788;245.9;35.0;;;
1752;140.31;1.7892;250.2;34.4;;;
1752;156.03;2.0511;258.0;33.4;;;
1752;166.64;2.2240;261.9;32.9;;;
1752;175.27;2.3967;268.3;32.1;;;
1752;187.45;2.6789;280.4;30.7;;;
1752;197.89;2.8801;285.6;30.1;;;
1752;202.54;3.0040;291.0;29.6;;;
1752;209.74;3.2252;301.8;28.5;;;
1752;225.94;3.7058;321.9;26.8;;;
1991;6.43;0.3017;809.5;10.6;;;
1991;19.54;0.4485;396.2;21.7;;;
1991;32.47;0.5911;314.3;27.4;;;
1991;38.48;0.6543;293.6;29.3;;;
1991;42.27;0.6936;283.2;30.4;;;
1991;52.24;0.7928;262.0;32.9;;;
1991;67.42;0.9532;244.1;35.3;;;
1991;79.67;1.1196;242.6;35.5;;;
1991;92.62;1.3005;242.4;35.5;;;
1991;102.08;1.4232;240.7;35.8;;;
1991;115.37;1.6051;240.2;35.8;;;
1991;126.01;1.7559;240.6;35.8;;;
1991;140.31;1.9916;245.0;35.1;;;
1991;156.03;2.2887;253.2;34.0;;;
1991;166.64;2.4601;254.9;33.8;;;
1991;175.27;2.6013;256.2;33.6;;;
1991;187.45;2.8199;259.7;33.2;;;
1991;197.89;3.0741;268.2;32.1;;;
1991;202.54;3.2340;275.7;31.2;;;
1991;209.74;3.5228;290.0;29.7;;;
1991;225.94;4.1947;320.5;26.9;;;
1991;236.93;4.3620;317.8;27.1;;;
2253;6.43;0.3448;817.9;10.5;;;
2253;19.54;0.5044;393.9;21.9;;;
2253;32.47;0.6715;315.6;27.3;;;
2253;38.48;0.7472;296.4;29.1;;;
2253;42.27;0.7938;286.6;30.0;;;
2253;52.24;0.9094;265.7;32.4;;;
2253;67.42;1.0860;245.8;35.0;;;
2253;79.67;1.2645;242.2;35.5;;;
2253;92.62;1.4572;240.1;35.9;;;
2253;102.08;1.5958;238.6;36.1;;;
2253;115.37;1.8005;238.2;36.2;;;
2253;126.01;1.9588;237.2;36.3;;;
2253;140.31;2.2065;240.0;35.9;;;
2253;156.03;2.5297;247.4;34.8;;;
2253;166.64;2.7069;247.9;34.7;;;
2253;175.27;2.8466;247.9;34.7;;;
2253;187.45;3.0802;250.8;34.3;;;
2253;197.89;3.4132;263.2;32.7;;;
2253;202.54;3.6237;273.0;31.5;;;
2253;209.74;4.0000;291.0;29.6;;;
2253;225.94;4.8039;324.5;26.5;;;
2253;236.93;5.0568;325.7;26.4;;;
2500;6.43;0.3887;830.7;10.4;;;
2500;19.54;0.5552;390.6;22.0;;;
2500;32.47;0.7492;317.3;27.1;;;
2500;38.48;0.8388;299.7;28.7;;;
2500;42.27;0.8931;290.5;29.6;;;
2500;52.24;1.0220;269.0;32.0;;;
2500;67.42;1.2151;247.8;34.7;;;
2500;79.67;1.4078;243.0;35.4;;;
2500;92.62;1.6144;239.7;35.9;;;
2500;102.08;1.7648;237.7;36.2;;;
2500;115.37;1.9953;237.8;36.2;;;
2500;126.01;2.1557;235.2;36.6;;;
2500;140.31;2.4070;235.9;36.5;;;
2500;156.03;2.7515;242.5;35.5;;;
2500;166.64;2.9426;242.8;35.5;;;
2500;175.27;3.1112;244.1;35.3;;;
2500;187.45;3.4348;251.9;34.2;;;
2500;197.89;3.8581;268.1;32.1;;;
2500;202.54;4.1080;278.9;30.9;;;
2500;209.74;4.5871;300.7;28.6;;;
2500;225.94;5.4625;332.4;25.9;;;
2500;236.93;5.7098;331.4;26.0;;;
3000;6.43;0.4928;877.7;9.8;;;
3000;19.54;0.6815;399.6;21.5;;;
3000;32.47;0.9235;326.0;26.4;;;
3000;38.48;1.0244;305.1;28.2;;;
3000;42.27;1.0866;294.6;29.2;;;
3000;52.24;1.2421;272.5;31.6;;;
3000;67.42;1.4744;250.6;34.4;;;
3000;79.67;1.6917;243.3;35.4;;;
3000;92.62;1.9481;241.0;35.7;;;
3000;102.08;2.1160;237.5;36.2;;;
3000;115.37;2.3699;235.4;36.6;;;
3000;126.01;2.5759;234.2;36.8;;;
3000;140.31;2.8340;231.5;37.2;;;
3000;156.03;3.1798;233.5;36.9;;;
3000;166.64;3.4583;237.8;36.2;;;
3000;175.27;3.8058;248.8;34.6;;;
3000;187.45;4.5506;278.2;31.0;;;
3000;197.89;5.2219;302.4;28.5;;;
3000;202.54;5.4586;308.8;27.9;;;
3000;209.74;5.8382;319.0;27.0;;;
3000;225.94;7.0421;357.2;24.1;;;
3000;236.93;7.4880;362.2;23.8;;;
3500;6.43;0.5893;899.7;9.6;;;
3500;19.54;0.8393;421.8;20.4;;;
3500;32.47;1.0909;330.0;26.1;;;
3500;38.48;1.1999;306.3;28.1;;;
3500;42.27;1.2673;294.4;29.2;;;
3500;52.24;1.4390;270.6;31.8;;;
3500;67.42;1.7509;255.0;33.8;;;
3500;79.67;1.9971;246.2;35.0;;;
3500;92.62;2.2804;241.8;35.6;;;
3500;102.08;2.4875;239.3;36.0;;;
3500;115.37;2.7746;236.2;36.5;;;
3500;126.01;3.0014;233.9;36.8;;;
3500;140.31;3.3602;235.2;36.6;;;
3500;156.03;3.6647;230.7;37.3;;;
3500;166.64;4.1536;244.8;35.2;;;
3500;175.27;4.6490;260.5;33.1;;;
3500;187.45;5.4458;285.3;30.2;;;
3500;197.89;6.5081;323.0;26.7;;;
3500;202.54;6.7526;327.5;26.3;;;
3500;209.74;7.2214;338.2;25.5;;;
3500;225.94;8.5192;370.3;23.3;;;
3500;236.93;9.4939;393.6;21.9;;;
3998;6.43;0.7048;941.9;9.1;;;
3998;19.54;0.9860;433.8;19.9;;;
3998;32.47;1.2752;337.7;25.5;;;
3998;38.48;1.4009;313.0;27.5;;;
3998;42.27;1.4791;300.8;28.6;;;
3998;52.24;1.6824;276.9;31.1;;;
3998;67.42;2.0291;258.8;33.3;;;
3998;79.67;2.3242;250.8;34.3;;;
3998;92.62;2.6599;246.9;34.9;;;
3998;102.08;2.9089;245.0;35.1;;;
3998;115.37;3.2327;240.9;35.7;;;
3998;126.01;3.4702;236.8;36.4;;;
3998;140.31;3.8413;235.4;36.6;;;
3998;156.03;4.2640;235.0;36.6;;;
3998;166.64;5.3169;274.3;31.4;;;
3998;175.27;6.2821;308.2;27.9;;;
3998;187.45;6.6367;304.4;28.3;;;
3998;197.89;7.5603;328.5;26.2;;;
3998;202.54;7.9244;336.4;25.6;;;
3998;209.74;8.4930;348.2;24.7;;;
3998;225.94;9.9231;377.6;22.8;;;
4499;6.43;0.8335;989.9;8.7;;;
4499;19.54;1.1658;455.8;18.9;;;
4499;32.47;1.5016;353.4;24.4;;;
4499;38.48;1.6542;328.5;26.2;;;
4499;42.27;1.7499;316.3;27.2;;;
4499;52.24;1.9979;292.2;29.5;;;
4499;67.42;2.3940;271.3;31.7;;;
4499;79.67;2.7223;261.1;33.0;;;
4499;92.62;3.0647;252.8;34.1;;;
4499;102.08;3.3206;248.5;34.6;;;
4499;115.37;3.6748;243.4;35.4;;;
4499;126.01;3.9760;241.1;35.7;;;
4499;140.31;4.5153;245.9;35.0;;;
4499;156.03;5.4281;265.8;32.4;;;
4499;166.64;6.1005;279.7;30.8;;;
4499;175.27;6.8103;296.9;29.0;;;
4499;187.45;8.4720;345.3;24.9;;;
4499;197.89;10.2136;394.3;21.8;;;
4499;202.54;10.5911;399.5;21.6;;;
4499;209.74;11.0169;401.3;21.5;;;
4499;225.94;11.9110;402.8;21.4;;;
4999;6.43;0.9896;1057.7;8.1;;;
4999;19.54;1.3473;474.1;18.2;;;
4999;32.47;1.7320;366.9;23.5;;;
