RPM;Nm;g/sec;g/kW*hr;%;D;;
741;0.52;0.1203;10758.2;0.8;1.998;;
741;9.92;0.1451;678.3;12.4;;;
741;19.92;0.1916;446.3;18.8;;;
741;29.86;0.2469;383.7;21.9;;;
741;39.99;0.2798;324.6;25.9;;;
741;49.57;0.3158;295.6;28.4;;;
741;59.94;0.3556;275.2;30.5;;;
741;69.93;0.3959;262.6;32.0;;;
741;80.02;0.4405;255.4;32.9;;;
741;89.98;0.4939;254.6;33.0;;;
741;99.97;0.5524;256.3;32.7;;;
847;0.52;0.1330;10403.2;0.8;;;
847;9.92;0.1613;659.4;12.7;;;
847;19.92;0.2113;430.5;19.5;;;
847;29.86;0.2668;362.6;23.2;;;
847;39.99;0.3073;311.8;26.9;;;
847;49.57;0.3487;285.5;29.4;;;
847;59.94;0.3952;267.5;31.4;;;
847;69.93;0.4415;256.2;32.8;;;
847;80.02;0.4919;249.4;33.7;;;
847;89.98;0.5514;248.6;33.8;;;
847;99.97;0.6161;250.1;33.6;;;
847;110.09;0.6903;254.4;33.0;;;
987;0.52;0.1503;10085.4;0.8;;;
987;9.92;0.1845;647.3;13.0;;;
987;19.92;0.2387;417.2;20.1;;;
987;29.86;0.2945;343.5;24.4;;;
987;39.99;0.3441;299.6;28.0;;;
987;49.57;0.3922;275.5;30.5;;;
987;59.94;0.4475;260.0;32.3;;;
987;69.93;0.5018;249.8;33.6;;;
987;80.02;0.5599;243.6;34.5;;;
987;89.98;0.6270;242.6;34.6;;;
987;99.97;0.7002;243.9;34.4;;;
987;110.09;0.7808;247.0;34.0;;;
987;119.92;0.8761;254.4;33.0;;;
987;129.76;0.9675;259.6;32.3;;;
1250;0.52;0.1846;9791.9;0.9;;;
1250;9.92;0.2337;647.7;13.0;;;
1250;19.92;0.2964;409.3;20.5;;;
1250;29.86;0.3581;330.0;25.4;;;
1250;39.99;0.4252;292.5;28.7;;;
1250;49.57;0.4785;265.6;31.6;;;
1250;59.94;0.5491;252.0;33.3;;;
1250;69.93;0.6147;241.8;34.7;;;
1250;80.02;0.6894;237.0;35.4;;;
1250;89.98;0.7664;234.3;35.8;;;
1250;99.97;0.8585;236.3;35.5;;;
1250;110.09;0.9508;237.6;35.3;;;
1250;119.92;1.0633;243.9;34.4;;;
1250;129.76;1.1768;249.5;33.6;;;
1250;139.53;1.2778;252.0;33.3;;;
1250;150.23;1.4026;256.9;32.7;;;
1498;0.52;0.2192;9699.5;0.9;;;
1498;9.92;0.2833;655.1;12.8;;;
1498;19.92;0.3549;409.0;20.5;;;
1498;29.86;0.4301;330.7;25.4;;;
1498;39.99;0.5029;288.7;29.1;;;
1498;49.57;0.5737;265.7;31.6;;;
1498;59.94;0.6597;252.7;33.2;;;
1498;69.93;0.7384;242.4;34.6;;;
1498;80.02;0.8237;236.3;35.5;;;
1498;89.98;0.9134;233.0;36.0;;;
1498;99.97;1.0083;231.5;36.3;;;
1498;110.09;1.1079;231.0;36.3;;;
1498;119.92;1.2304;235.5;35.6;;;
1498;129.76;1.3904;246.0;34.1;;;
1498;139.53;1.4884;244.9;34.3;;;
1498;150.23;1.6000;244.5;34.3;;;
1498;160.09;1.7753;254.6;33.0;;;
1641;0.52;0.2405;9714.2;0.9;;;
1641;9.92;0.3121;658.9;12.7;;;
1641;19.92;0.3915;411.8;20.4;;;
1641;29.86;0.4725;331.5;25.3;;;
1641;39.99;0.5502;288.3;29.1;;;
1641;49.57;0.6296;266.1;31.5;;;
1641;59.94;0.7204;251.8;33.3;;;
1641;69.93;0.8112;243.0;34.5;;;
1641;80.02;0.9041;236.7;35.5;;;
1641;89.98;1.0024;233.4;36.0;;;
1641;99.97;1.0994;230.4;36.4;;;
1641;110.09;1.1997;228.3;36.8;;;
1641;119.92;1.3213;230.8;36.4;;;
1641;129.76;1.4859;239.9;35.0;;;
1641;139.53;1.6007;240.4;34.9;;;
1641;150.23;1.7202;239.9;35.0;;;
1641;160.09;1.8921;247.6;33.9;;;
1747;0.52;0.2568;9742.6;0.9;;;
1747;9.92;0.3332;660.7;12.7;;;
1747;19.92;0.4190;414.0;20.3;;;
1747;29.86;0.5038;332.1;25.3;;;
1747;39.99;0.5859;288.3;29.1;;;
