RPM;Torque;"Fuel Rate
(g/sec)";"BSFC
g/kW*hr";"Efficiency
(%)";D
998;12.90;0.2463;657.7;13.2;2.488
998;23.37;0.2994;441.3;19.6;
998;29.09;0.3291;389.7;22.2;
998;36.72;0.3701;347.2;24.9;
998;43.31;0.4061;323.0;26.8;
998;50.72;0.4467;303.4;28.5;
998;63.68;0.5174;279.9;30.9;
998;74.11;0.5754;267.5;32.3;
998;82.48;0.6258;261.4;33.1;
998;94.01;0.7008;256.8;33.7;
998;100.10;0.7374;253.8;34.1;
998;112.68;0.8154;249.3;34.7;
998;122.21;0.8831;248.9;34.7;
998;131.74;0.9482;248.0;34.9;
998;142.55;1.0194;246.4;35.1;
998;158.92;1.1725;254.2;34.0;
1098;12.90;0.2715;658.9;13.1;
1098;23.37;0.3297;441.8;19.6;
1098;29.09;0.3623;390.0;22.2;
1098;36.72;0.4068;346.9;24.9;
1098;43.31;0.4460;322.5;26.8;
1098;50.72;0.4900;302.6;28.6;
1098;63.68;0.5668;278.7;31.0;
1098;74.11;0.6305;266.4;32.5;
1098;82.48;0.6853;260.2;33.2;
1098;94.01;0.7663;255.2;33.9;
1098;100.10;0.8074;252.6;34.2;
1098;112.68;0.8929;248.2;34.9;
1098;122.21;0.9657;247.5;35.0;
1098;131.74;1.0359;246.2;35.1;
1098;142.55;1.1111;244.1;35.4;
1098;158.92;1.2612;248.5;34.8;
1098;168.41;1.3917;258.8;33.4;
1275;12.90;0.3166;661.6;13.1;
1275;23.37;0.3840;442.9;19.5;
1275;29.09;0.4216;390.7;22.1;
1275;36.72;0.4725;346.8;24.9;
1275;43.31;0.5171;321.9;26.9;
1275;50.72;0.5673;301.5;28.7;
1275;63.68;0.6548;277.2;31.2;
1275;74.11;0.7286;265.0;32.6;
1275;82.48;0.7912;258.6;33.4;
1275;94.01;0.8829;253.2;34.2;
1275;100.10;0.9321;251.0;34.5;
1275;112.68;1.0312;246.7;35.1;
1275;122.21;1.1123;245.4;35.3;
1275;131.74;1.1924;244.0;35.5;
1275;142.55;1.2754;241.2;35.9;
1275;158.92;1.4190;240.7;35.9;
1275;168.41;1.5654;250.6;34.5;
1275;177.90;1.7633;267.2;32.4;
1497;12.90;0.3728;663.5;13.0;
1497;23.37;0.4522;444.3;19.5;
1497;29.09;0.4961;391.7;22.1;
1497;36.72;0.5553;347.2;24.9;
1497;43.31;0.6066;321.6;26.9;
1497;50.72;0.6643;300.8;28.8;
1497;63.68;0.7660;276.2;31.3;
1497;74.11;0.8531;264.3;32.7;
1497;82.48;0.9251;257.6;33.6;
1497;94.01;1.0318;252.0;34.3;
1497;100.10;1.0896;250.0;34.6;
1497;112.68;1.2095;246.5;35.1;
1497;122.21;1.2996;244.2;35.4;
1497;131.74;1.3906;242.4;35.7;
1497;142.55;1.4872;239.6;36.1;
1497;158.92;1.6268;235.1;36.8;
1497;168.41;1.8006;245.5;35.2;
1497;177.90;2.0668;266.8;32.4;
1497;187.38;2.3608;289.3;29.9;
1497;200.09;2.6335;302.2;28.6;
1747;12.90;0.4345;662.7;13.1;
1747;23.37;0.5295;445.8;19.4;
1747;29.09;0.5807;392.9;22.0;
1747;36.72;0.6487;347.6;24.9;
1747;43.31;0.7073;321.4;26.9;
1747;50.72;0.7730;299.9;28.8;
1747;63.68;0.8926;275.8;31.4;
1747;74.11;0.9964;264.6;32.7;
1747;82.48;1.0786;257.3;33.6;
1747;94.01;1.2014;251.5;34.4;
1747;100.10;1.2694;249.5;34.7;
1747;112.68;1.4112;246.5;35.1;
1747;122.21;1.5140;243.8;35.5;
1747;131.74;1.6177;241.6;35.8;
1747;142.55;1.7358;239.6;36.1;
1747;158.92;1.8907;234.1;36.9;
1747;168.41;2.0796;243.0;35.6;
1747;177.90;2.3751;262.7;32.9;
1747;187.38;2.6249;275.7;31.4;
1747;200.09;2.9250;287.7;30.1;
1996;12.90;0.4952;661.1;13.1;
1996;23.37;0.6056;446.3;19.4;
1996;29.09;0.6639;393.1;22.0;
1996;36.72;0.7408;347.5;24.9;
1996;43.31;0.8078;321.2;26.9;
1996;50.72;0.8846;300.4;28.8;
1996;63.68;1.0262;277.5;31.2;
1996;74.11;1.1448;266.1;32.5;
1996;82.48;1.2378;258.5;33.5;
1996;94.01;1.3772;252.3;34.3;
1996;100.10;1.4522;249.9;34.6;
1996;112.68;1.6062;245.5;35.2;
1996;122.21;1.7254;243.2;35.6;
1996;131.74;1.8442;241.1;35.9;
1996;142.55;1.9834;239.6;36.1;
1996;158.92;2.1795;236.2;36.6;
1996;168.41;2.3541;240.7;35.9;
1996;177.90;2.5499;246.9;35.0;
1996;187.38;2.8088;258.2;33.5;
1996;200.09;3.1378;270.1;32.0;
1996;215.35;3.5959;287.6;30.1;
2246;12.90;0.5615;666.2;13.0;
2246;23.37;0.6813;446.2;19.4;
2246;29.09;0.7458;392.5;22.0;
2246;36.72;0.8323;346.9;24.9;
2246;43.31;0.9090;321.3;26.9;
2246;50.72;0.9979;301.2;28.7;
2246;63.68;1.1608;279.0;31.0;
2246;74.11;1.2931;267.1;32.4;
2246;82.48;1.4006;259.9;33.3;
2246;94.01;1.5570;253.5;34.1;
2246;100.10;1.6408;250.9;34.5;
2246;112.68;1.8084;245.7;35.2;
2246;122.21;1.9369;242.6;35.7;
2246;131.74;2.0706;240.6;36.0;
2246;142.55;2.2278;239.2;36.2;
2246;158.92;2.4702;237.9;36.4;
2246;168.41;2.6410;240.0;36.0;
2246;177.90;2.7949;240.5;36.0;
2246;187.38;2.9942;244.6;35.4;
2246;200.09;3.3435;255.8;33.8;
2246;215.35;3.8748;275.4;31.4;
2496;12.90;0.6294;671.9;12.9;
2496;23.37;0.7585;447.0;19.3;
2496;29.09;0.8297;392.9;22.0;
2496;36.72;0.9263;347.4;24.9;
2496;43.31;1.0132;322.2;26.8;
2496;50.72;1.1137;302.5;28.6;
2496;63.68;1.2967;280.5;30.8;
2496;74.11;1.4439;268.4;32.2;
2496;82.48;1.5641;261.2;33.1;
2496;94.01;1.7338;254.0;34.1;
2496;100.10;1.8257;251.2;34.4;
2496;112.68;2.0083;245.5;35.2;
2496;122.21;2.1471;242.0;35.7;
2496;131.74;2.2922;239.7;36.1;
2496;142.55;2.4609;237.8;36.4;
2496;158.92;2.7281;236.4;36.6;
2496;168.41;2.8952;236.8;36.5;
2496;177.90;3.0518;236.3;36.6;
2496;187.38;3.2228;236.9;36.5;
2496;200.09;3.5427;243.9;35.5;
2496;215.35;4.0982;262.1;33.0;
2745;12.90;0.6995;679.0;12.7;
2745;23.37;0.8409;450.6;19.2;
2745;29.09;0.9194;395.9;21.8;
2745;36.72;1.0275;350.4;24.7;
2745;43.31;1.1233;324.8;26.6;
2745;50.72;1.2329;304.5;28.4;
2745;63.68;1.4325;281.7;30.7;
2745;74.11;1.5960;269.7;32.1;
2745;82.48;1.7274;262.3;33.0;
2745;94.01;1.9097;254.4;34.0;
2745;100.10;2.0076;251.2;34.4;
2745;112.68;2.2075;245.4;35.3;
2745;122.21;2.3598;241.8;35.8;
2745;131.74;2.5128;238.9;36.2;
2745;142.55;2.6929;236.6;36.6;
2745;158.92;2.9737;234.3;36.9;
2745;168.41;3.1446;233.8;37.0;
2745;177.90;3.3070;232.8;37.2;
2745;187.38;3.4759;232.3;37.2;
2745;200.09;3.7679;235.8;36.7;
2745;215.35;4.3172;251.1;34.5;
2745;228.26;4.9168;269.8;32.1;
2995;12.90;0.7737;688.3;12.6;
2995;23.37;0.9302;456.8;18.9;
2995;29.09;1.0183;401.9;21.5;
2995;36.72;1.1383;355.8;24.3;
2995;43.31;1.2427;329.4;26.3;
2995;50.72;1.3610;308.0;28.1;
2995;63.68;1.5785;284.5;30.4;
2995;74.11;1.7576;272.2;31.8;
2995;82.48;1.9016;264.6;32.7;
2995;94.01;2.0986;256.2;33.8;
2995;100.10;2.2042;252.8;34.2;
2995;112.68;2.4200;246.5;35.1;
2995;122.21;2.5873;243.0;35.6;
2995;131.74;2.7514;239.7;36.1;
2995;142.55;2.9410;236.8;36.5;
