RPM;Nm;g/sec;g/kW*hr;%;D;;
696;9.28;0.1858;988.8;8.7;2.488;;
696;32.73;0.2630;396.7;21.6;;;
696;49.81;0.3184;315.6;27.2;;;
696;66.89;0.3753;277.0;31.0;;;
696;89.91;0.4544;249.5;34.4;;;
696;120.41;0.5749;235.7;36.4;;;
769;9.28;0.1968;948.9;9.0;;;
769;32.73;0.2850;389.5;22.0;;;
769;49.81;0.3496;314.0;27.3;;;
769;66.89;0.4153;277.8;30.9;;;
769;89.91;0.5062;251.9;34.1;;;
769;120.41;0.6406;238.0;36.1;;;
769;145.79;0.7859;241.1;35.6;;;
821;9.28;0.2048;924.5;9.3;;;
821;32.73;0.3010;385.1;22.3;;;
821;49.81;0.3723;313.0;27.4;;;
821;66.89;0.4444;278.2;30.8;;;
821;89.91;0.5439;253.3;33.9;;;
821;120.41;0.6885;239.4;35.8;;;
821;145.79;0.8362;240.2;35.7;;;
1009;9.28;0.2347;862.3;10.0;;;
1009;32.73;0.3587;373.6;23.0;;;
1009;49.81;0.4526;309.8;27.7;;;
1009;66.89;0.5471;278.8;30.8;;;
1009;89.91;0.6772;256.7;33.4;;;
1009;120.41;0.8596;243.3;35.3;;;
1009;145.79;1.0172;237.8;36.1;;;
1009;165.23;1.2019;247.9;34.6;;;
1009;190.67;1.5071;269.4;31.8;;;
1009;207.01;1.7299;284.8;30.1;;;
1009;223.35;1.9730;301.1;28.5;;;
1009;249.54;2.4130;329.6;26.0;;;
1291;9.28;0.2926;840.1;10.2;;;
1291;32.73;0.4522;368.0;23.3;;;
1291;49.81;0.5704;305.0;28.1;;;
1291;66.89;0.6927;275.8;31.1;;;
1291;89.91;0.8671;256.8;33.4;;;
1291;120.41;1.1070;244.8;35.0;;;
1291;145.79;1.3090;239.1;35.9;;;
1291;165.23;1.5207;245.1;35.0;;;
1291;190.67;1.9011;265.5;32.3;;;
1291;207.01;2.0786;267.4;32.1;;;
1291;223.35;2.2745;271.2;31.6;;;
1291;249.54;2.6626;284.2;30.2;;;
1291;259.29;2.8367;291.4;29.4;;;
1291;279.44;3.2719;311.8;27.5;;;
1291;299.95;3.5480;315.0;27.2;;;
1291;322.77;3.8310;316.1;27.1;;;
1291;350.11;3.9612;301.3;28.5;;;
1501;9.28;0.3379;834.2;10.3;;;
1501;32.73;0.5244;367.0;23.4;;;
1501;49.81;0.6600;303.5;28.3;;;
1501;66.89;0.8027;274.8;31.2;;;
1501;89.91;1.0073;256.6;33.4;;;
1501;120.41;1.2768;242.9;35.3;;;
1501;145.79;1.5136;237.8;36.1;;;
1501;165.23;1.7350;240.5;35.7;;;
1501;190.67;2.1178;254.4;33.7;;;
1501;207.01;2.3138;256.0;33.5;;;
1501;223.35;2.5069;257.1;33.4;;;
1501;249.54;2.8664;263.1;32.6;;;
1501;259.29;3.0125;266.1;32.2;;;
1501;279.44;3.3507;274.6;31.2;;;
1501;299.95;3.6673;280.0;30.6;;;
1501;322.77;4.0164;285.0;30.1;;;
1501;350.11;4.2822;280.1;30.6;;;
1501;366.44;4.4418;277.6;30.9;;;
1501;393.09;4.8030;279.9;30.7;;;
1501;409.88;5.3374;298.3;28.8;;;
1751;9.28;0.3931;831.9;10.3;;;
1751;32.73;0.6132;367.9;23.3;;;
1751;49.81;0.7748;305.4;28.1;;;
1751;66.89;0.9424;276.6;31.0;;;
1751;89.91;1.1784;257.3;33.3;;;
1751;120.41;1.4751;240.5;35.7;;;
1751;145.79;1.7326;233.3;36.8;;;
1751;165.23;1.9690;234.0;36.7;;;
1751;190.67;2.3752;244.6;35.1;;;
1751;207.01;2.6035;246.9;34.8;;;
1751;223.35;2.8245;248.3;34.6;;;
1751;249.54;3.1972;251.6;34.1;;;
1751;259.29;3.3519;253.8;33.8;;;
1751;279.44;3.6827;258.7;33.2;;;
1751;299.95;4.0310;263.9;32.5;;;
1751;322.77;4.3785;266.3;32.2;;;
1751;350.11;4.7702;267.5;32.1;;;
1751;366.44;4.9904;267.4;32.1;;;
1751;393.09;5.2902;264.2;32.5;;;
1751;409.88;5.7398;274.9;31.2;;;
1751;435.59;6.6459;299.5;28.6;;;
2001;9.28;0.4624;856.4;10.0;;;
2001;32.73;0.7158;375.8;22.8;;;
2001;49.81;0.9036;311.7;27.5;;;
2001;66.89;1.0940;281.0;30.5;;;
2001;89.91;1.3629;260.4;32.9;;;
2001;120.41;1.6785;239.5;35.8;;;
2001;145.79;1.9552;230.4;37.2;;;
2001;165.23;2.2254;231.4;37.1;;;
2001;190.67;2.6267;236.7;36.3;;;
2001;207.01;2.8994;240.6;35.7;;;
2001;223.35;3.1687;243.7;35.2;;;
2001;249.54;3.5781;246.3;34.8;;;
2001;259.29;3.7344;247.4;34.7;;;
2001;279.44;4.0545;249.3;34.4;;;
2001;299.95;4.4499;254.9;33.7;;;
2001;322.77;4.8894;260.3;33.0;;;
2001;350.11;5.4363;266.8;32.2;;;
2001;366.44;5.7710;270.6;31.7;;;
2001;393.09;6.3067;275.6;31.1;;;
2001;409.88;6.5731;275.5;31.1;;;
2001;435.59;7.5333;297.1;28.9;;;
2251;9.28;0.5357;882.0;9.7;;;
2251;32.73;0.8185;382.0;22.5;;;
2251;49.81;1.0309;316.1;27.1;;;
2251;66.89;1.2500;285.4;30.1;;;
2251;89.91;1.5591;264.8;32.4;;;
2251;120.41;1.9095;242.2;35.4;;;
2251;145.79;2.2063;231.1;37.1;;;
2251;165.23;2.4977;230.9;37.2;;;
2251;190.67;2.9193;233.8;36.7;;;
2251;207.01;3.2104;236.8;36.2;;;
2251;223.35;3.5092;239.9;35.8;;;
2251;249.54;3.9794;243.5;35.2;;;
2251;259.29;4.1602;245.0;35.0;;;
2251;279.44;4.5373;248.0;34.6;;;
2251;299.95;4.9934;254.2;33.8;;;
2251;322.77;5.5480;262.5;32.7;;;
2251;350.11;6.2244;271.5;31.6;;;
2251;366.44;6.5489;272.9;31.4;;;
2251;393.09;7.2390;281.2;30.5;;;
2251;409.88;7.6068;283.4;30.3;;;
2251;435.59;8.1809;286.8;29.9;;;
2501;9.28;0.6128;908.1;9.4;;;
2501;32.73;0.9170;385.1;22.3;;;
2501;49.81;1.1547;318.6;26.9;;;
2501;66.89;1.4060;288.9;29.7;;;
2501;89.91;1.7589;268.9;31.9;;;
2501;120.41;2.1515;245.6;34.9;;;
2501;145.79;2.4815;233.9;36.7;;;
2501;165.23;2.7898;232.1;37.0;;;
2501;190.67;3.2250;232.5;36.9;;;
2501;207.01;3.5238;234.0;36.7;;;
2501;223.35;3.8393;236.3;36.3;;;
2501;249.54;4.3751;241.0;35.6;;;
2501;259.29;4.5831;243.0;35.3;;;
2501;279.44;5.0295;247.4;34.7;;;
2501;299.95;5.5365;253.7;33.8;;;
2501;322.77;6.0869;259.2;33.1;;;
2501;350.11;6.9512;272.9;31.4;;;
2501;366.44;7.4873;280.8;30.6;;;
2501;393.09;8.3608;292.4;29.4;;;
2501;409.88;8.8429;296.5;28.9;;;
2501;435.59;9.3293;294.4;29.1;;;
2751;9.28;0.6877;926.4;9.3;;;
2751;32.73;1.0224;390.4;22.0;;;
2751;49.81;1.2884;323.2;26.5;;;
2751;66.89;1.5686;293.0;29.3;;;
2751;89.91;1.9617;272.6;31.5;;;
2751;120.41;2.3963;248.7;34.5;;;
2751;145.79;2.7674;237.2;36.2;;;
2751;165.23;3.0849;233.3;36.8;;;
2751;190.67;3.5392;232.0;37.0;;;
2751;207.01;3.8557;232.7;36.9;;;
2751;223.35;4.1939;234.6;36.6;;;
2751;249.54;4.7847;239.6;35.8;;;
2751;259.29;5.0124;241.6;35.5;;;
2751;279.44;5.4906;245.5;34.9;;;
2751;299.95;5.9828;249.2;34.4;;;
2751;322.77;6.5280;252.7;34.0;;;
2751;350.11;7.6417;272.7;31.5;;;
2751;366.44;8.3746;285.6;30.0;;;
2751;393.09;9.5848;304.7;28.2;;;
2751;409.88;10.2497;312.5;27.5;;;
2751;435.59;10.8866;312.3;27.5;;;
3001;9.28;0.7524;929.0;9.2;;;
3001;32.73;1.1376;398.2;21.5;;;
3001;49.81;1.4325;329.4;26.0;;;
3001;66.89;1.7401;298.0;28.8;;;
3001;89.91;2.1667;276.0;31.1;;;
3001;120.41;2.6446;251.6;34.1;;;
3001;145.79;3.0545;240.0;35.8;;;
3001;165.23;3.3936;235.3;36.5;;;
3001;190.67;3.8806;233.1;36.8;;;
3001;207.01;4.2198;233.5;36.7;;;
3001;223.35;4.5839;235.1;36.5;;;
3001;249.54;5.2217;239.7;35.8;;;
3001;259.29;5.4532;240.9;35.6;;;
3001;279.44;5.9158;242.5;35.4;;;
3001;299.95;6.3505;242.5;35.4;;;
