RPM;Nm;g/sec;g/kW*hr;%;D;;
779;2.97;0.1486;2211.9;3.9;2.487;;
779;12.72;0.1820;631.9;13.6;;;
779;28.77;0.2412;370.3;23.2;;;
779;40.81;0.2894;313.2;27.4;;;
779;54.44;0.3624;294.0;29.2;;;
779;63.64;0.3988;276.7;31.0;;;
779;72.83;0.4388;266.0;32.3;;;
779;88.88;0.5163;256.5;33.5;;;
779;103.90;0.6007;255.3;33.6;;;
1122;2.97;0.2066;2133.2;4.0;;;
1122;12.72;0.2547;613.6;14.0;;;
1122;28.77;0.3371;359.1;23.9;;;
1122;40.81;0.4056;304.4;28.2;;;
1122;54.44;0.4972;279.8;30.7;;;
1122;63.64;0.5499;264.8;32.4;;;
1122;72.83;0.6032;253.7;33.8;;;
1122;88.88;0.6962;240.0;35.8;;;
1122;103.90;0.7961;234.7;36.6;;;
1122;114.67;0.8659;231.4;37.1;;;
1122;128.53;0.9656;230.2;37.3;;;
1122;135.85;1.0340;233.2;36.8;;;
1122;149.45;1.2049;247.0;34.7;;;
1122;159.71;1.4115;270.7;31.7;;;
1122;169.98;1.6006;288.5;29.7;;;
1326;2.97;0.2356;2058.6;4.2;;;
1326;12.72;0.2990;609.4;14.1;;;
1326;28.77;0.3983;359.0;23.9;;;
1326;40.81;0.4794;304.5;28.2;;;
1326;54.44;0.5810;276.7;31.0;;;
1326;63.64;0.6440;262.4;32.7;;;
1326;72.83;0.7067;251.6;34.1;;;
1326;88.88;0.8137;237.3;36.2;;;
1326;103.90;0.9246;230.7;37.2;;;
1326;114.67;1.0055;227.3;37.7;;;
1326;128.53;1.1143;224.8;38.2;;;
1326;135.85;1.1825;225.7;38.0;;;
1326;149.45;1.3559;235.2;36.5;;;
1326;159.71;1.5511;251.8;34.1;;;
1326;169.98;1.7463;266.3;32.2;;;
1326;180.68;1.9965;286.5;30.0;;;
1326;185.19;2.0814;291.4;29.4;;;
1499;2.97;0.2598;2008.7;4.3;;;
1499;12.72;0.3366;607.0;14.1;;;
1499;28.77;0.4522;360.6;23.8;;;
1499;40.81;0.5431;305.2;28.1;;;
1499;54.44;0.6533;275.2;31.2;;;
1499;63.64;0.7250;261.3;32.8;;;
1499;72.83;0.7952;250.4;34.3;;;
1499;88.88;0.9186;237.1;36.2;;;
1499;103.90;1.0393;229.4;37.4;;;
1499;114.67;1.1287;225.7;38.0;;;
1499;128.53;1.2458;222.3;38.6;;;
1499;135.85;1.3151;222.0;38.6;;;
1499;149.45;1.4860;228.1;37.6;;;
1499;159.71;1.6768;240.8;35.6;;;
1499;169.98;1.8813;253.8;33.8;;;
1499;180.68;2.1278;270.1;31.8;;;
1499;185.19;2.2238;275.4;31.2;;;
1729;2.97;0.2928;1962.2;4.4;;;
1729;12.72;0.3862;603.8;14.2;;;
1729;28.77;0.5249;362.8;23.7;;;
1729;40.81;0.6292;306.5;28.0;;;
1729;54.44;0.7525;274.8;31.2;;;
1729;63.64;0.8358;261.2;32.9;;;
1729;72.83;0.9182;250.7;34.2;;;
1729;88.88;1.0632;237.8;36.1;;;
1729;103.90;1.1990;229.4;37.4;;;
1729;114.67;1.2994;225.3;38.1;;;
1729;128.53;1.4272;220.8;38.9;;;
1729;135.85;1.4994;219.5;39.1;;;
1729;149.45;1.6656;221.6;38.7;;;
1729;159.71;1.8569;231.2;37.1;;;
1729;169.98;2.0800;243.3;35.3;;;
1729;180.68;2.3293;256.3;33.5;;;
1729;185.19;2.4291;260.8;32.9;;;
1729;196.89;2.7118;273.8;31.3;;;
2017;2.97;0.3375;1939.0;4.4;;;
2017;12.72;0.4490;601.6;14.3;;;
2017;28.77;0.6158;364.9;23.5;;;
2017;40.81;0.7396;308.8;27.8;;;
2017;54.44;0.8823;276.2;31.1;;;
2017;63.64;0.9816;262.9;32.6;;;
2017;72.83;1.0821;253.2;33.9;;;
2017;88.88;1.2545;240.5;35.7;;;
2017;103.90;1.4089;231.1;37.1;;;
2017;114.67;1.5240;226.5;37.9;;;
2017;128.53;1.6651;220.8;38.9;;;
2017;135.85;1.7475;219.2;39.1;;;
2017;149.45;1.9228;219.3;39.1;;;
2017;159.71;2.1020;224.3;38.3;;;
2017;169.98;2.3244;233.0;36.8;;;
2017;180.68;2.5808;243.4;35.2;;;
2017;185.19;2.6947;248.0;34.6;;;
2017;196.89;3.0238;261.7;32.8;;;
2017;209.67;3.5856;291.5;29.4;;;
2535;2.97;0.4327;1978.1;4.3;;;
2535;12.72;0.5735;611.5;14.0;;;
2535;28.77;0.7972;375.8;22.8;;;
2535;40.81;0.9543;317.1;27.1;;;
2535;54.44;1.1396;283.9;30.2;;;
2535;63.64;1.2746;271.6;31.6;;;
2535;72.83;1.4088;262.3;32.7;;;
2535;88.88;1.6176;246.8;34.8;;;
2535;103.90;1.8089;236.1;36.3;;;
2535;114.67;1.9563;231.3;37.1;;;
2535;128.53;2.1274;224.5;38.2;;;
2535;135.85;2.2246;222.1;38.6;;;
2535;149.45;2.4262;220.2;39.0;;;
2535;159.71;2.5913;220.0;39.0;;;
2535;169.98;2.7859;222.3;38.6;;;
2535;180.68;3.0416;228.3;37.6;;;
2535;185.19;3.1686;232.0;37.0;;;
2535;196.89;3.5696;245.9;34.9;;;
2535;209.67;4.2100;272.3;31.5;;;
2996;2.97;0.5408;2091.7;4.1;;;
2996;12.72;0.7068;637.7;13.5;;;
2996;28.77;0.9712;387.4;22.2;;;
2996;40.81;1.1684;328.5;26.1;;;
2996;54.44;1.3926;293.5;29.2;;;
2996;63.64;1.5384;277.4;30.9;;;
2996;72.83;1.6736;263.7;32.5;;;
2996;88.88;1.9254;248.6;34.5;;;
2996;103.90;2.1720;239.9;35.8;;;
2996;114.67;2.3414;234.3;36.6;;;
2996;128.53;2.5545;228.0;37.6;;;
2996;135.85;2.6709;225.6;38.0;;;
2996;149.45;2.8930;222.1;38.6;;;
2996;159.71;3.0734;220.8;38.9;;;
2996;169.98;3.2681;220.6;38.9;;;
2996;180.68;3.5239;223.8;38.3;;;
2996;185.19;3.6573;226.6;37.9;;;
2996;196.89;4.0937;238.6;36.0;;;
2996;209.67;4.8163;263.6;32.6;;;
3572;2.97;0.7088;2299.5;3.7;;;
3572;12.72;0.9116;689.8;12.4;;;
3572;28.77;1.2377;414.1;20.7;;;
3572;40.81;1.4676;346.1;24.8;;;
3572;54.44;1.7400;307.6;27.9;;;
3572;63.64;1.9067;288.4;29.8;;;
3572;72.83;2.0815;275.1;31.2;;;
3572;88.88;2.3963;259.5;33.1;;;
3572;103.90;2.6773;248.0;34.6;;;
3572;114.67;2.8752;241.3;35.6;;;
3572;128.53;3.1304;234.4;36.6;;;
3572;135.85;3.2624;231.1;37.1;;;
3572;149.45;3.5234;226.9;37.8;;;
3572;159.71;3.7399;225.4;38.1;;;
3572;169.98;3.9832;225.5;38.0;;;
3572;180.68;4.2536;226.6;37.9;;;
3572;185.19;4.3711;227.2;37.8;;;
3572;196.89;4.7042;229.9;37.3;;;
3572;209.67;5.1920;238.3;36.0;;;
3572;225.34;5.9948;256.0;33.5;;;
4033;2.97;0.8677;2493.3;3.4;;;
4033;12.72;1.0964;734.9;11.7;;;
4033;28.77;1.4684;435.2;19.7;;;
4033;40.81;1.7271;360.8;23.8;;;
4033;54.44;2.0409;319.6;26.8;;;
4033;63.64;2.2528;301.8;28.4;;;
4033;72.83;2.4704;289.2;29.7;;;
4033;88.88;2.8190;270.4;31.7;;;
4033;103.90;3.1280;256.7;33.4;;;
4033;114.67;3.3613;249.9;34.3;;;
4033;128.53;3.6685;243.3;35.3;;;
4033;135.85;3.8207;239.8;35.8;;;
4033;149.45;4.1102;234.5;36.6;;;
4033;159.71;4.3642;232.9;36.8;;;
4033;169.98;4.6560;233.5;36.7;;;
4033;180.68;4.9990;235.9;36.4;;;
4033;185.19;5.1427;236.7;36.2;;;
4033;196.89;5.4906;237.7;36.1;;;
4033;209.67;5.9765;243.0;35.3;;;
4033;225.34;6.8211;258.1;33.3;;;
4493;2.97;1.0457;2696.8;3.2;;;
4493;12.72;1.2949;779.0;11.0;;;
4493;28.77;1.6929;450.3;19.1;;;
4493;40.81;2.0017;375.2;22.9;;;
4493;54.44;2.3543;330.9;25.9;;;
4493;63.64;2.5918;311.6;27.5;;;
4493;72.83;2.8260;296.9;28.9;;;
4493;88.88;3.2301;278.0;30.9;;;
4493;103.90;3.5948;264.7;32.4;;;
4493;114.67;3.8682;258.1;33.2;;;
4493;128.53;4.2335;252.0;34.1;;;
4493;135.85;4.4209;249.0;34.5;;;
4493;149.45;4.7681;244.1;35.2;;;
4493;159.71;5.0562;242.2;35.4;;;
4493;169.98;5.3848;242.4;35.4;;;
4493;180.68;5.7838;244.9;35.0;;;
4493;185.19;5.9529;245.9;34.9;;;
4493;196.89;6.3915;248.4;34.6;;;
4493;209.67;6.9578;253.9;33.8;;;
4493;225.34;7.7632;263.6;32.6;;;
4954;2.97;1.2401;2900.6;3.0;;;
4954;12.72;1.5152;826.7;10.4;;;
4954;28.77;1.9606;472.9;18.1;;;
4954;40.81;2.2932;389.9;22.0;;;
4954;54.44;2.6858;342.3;25.1;;;
4954;63.64;2.9470;321.4;26.7;;;
4954;72.83;3.2046;305.3;28.1;;;
4954;88.88;3.6604;285.8;30.0;;;
4954;103.90;4.0823;272.6;31.5;;;
4954;114.67;4.3906;265.7;32.3;;;
4954;128.53;4.8400;261.3;32.8;;;
4954;135.85;5.0780;259.4;33.1;;;
4954;149.45;5.5125;256.0;33.5;;;
4954;159.71;5.8416;253.8;33.8;;;
4954;169.98;6.2240;254.1;33.8;;;
4954;180.68;6.6829;256.7;33.4;;;
4954;185.19;6.8837;257.9;33.3;;;
4954;196.89;7.4262;261.7;32.8;;;
4954;209.67;8.0864;267.6;32.1;;;
4954;225.34;8.9621;276.0;31.1;;;
4954;243.64;9.7285;277.1;31.0;;;
5415;2.97;1.4452;3092.8;2.8;;;
5415;12.72;1.7494;873.3;9.8;;;
5415;28.77;2.2553;497.7;17.2;;;
5415;40.81;2.6177;407.2;21.1;;;
5415;54.44;3.0360;354.1;24.2;;;
5415;63.64;3.3232;331.5;25.9;;;
5415;72.83;3.6115;314.8;27.3;;;
5415;88.88;4.1166;294.1;29.2;;;
5415;103.90;4.6125;281.8;30.4;;;
5415;114.67;4.9889;276.2;31.1;;;
5415;128.53;5.5058;272.0;31.6;;;
5415;135.85;5.7921;270.7;31.7;;;
5415;149.45;6.3451;269.6;31.8;;;
5415;159.71;6.7667;269.0;31.9;;;
5415;169.98;7.1869;268.4;32.0;;;
5415;180.68;7.6781;269.8;31.8;;;
5415;185.19;7.8980;270.8;31.7;;;
5415;196.89;8.5044;274.2;31.3;;;
5415;209.67;9.2239;279.3;30.7;;;
5415;225.34;10.0839;284.1;30.2;;;
5762;2.97;1.6019;3221.4;2.7;;;
5762;12.72;1.9254;903.2;9.5;;;
5762;28.77;2.4630;510.8;16.8;;;
5762;40.81;2.8560;417.5;20.6;;;
5762;54.44;3.3019;361.8;23.7;;;
5762;63.64;3.6085;338.3;25.4;;;
5762;72.83;3.9188;321.0;26.7;;;
5762;88.88;4.4713;300.1;28.6;;;
5762;103.90;5.0252;288.6;29.7;;;
5762;114.67;5.4483;283.5;30.3;;;
5762;128.53;6.0252;279.7;30.7;;;
5762;135.85;6.3452;278.7;30.8;;;
5762;149.45;6.9645;278.0;30.9;;;
5762;159.71;7.4381;277.8;30.9;;;
5762;169.98;7.9158;277.8;30.9;;;
5762;180.68;8.4447;278.8;30.8;;;
5762;185.19;8.6784;279.6;30.7;;;
5762;196.89;9.3165;282.3;30.4;;;
5762;209.67;10.0538;286.1;30.0;;;
5762;225.34;10.9432;289.7;29.6;;;
6511;2.97;1.9368;3446.9;2.5;;;
6511;12.72;2.2963;953.3;9.0;;;
6511;28.77;2.8946;531.3;16.2;;;
6511;40.81;3.3486;433.2;19.8;;;
6511;54.44;3.8696;375.3;22.9;;;
6511;63.64;4.2291;350.9;24.5;;;
6511;72.83;4.5958;333.2;25.8;;;
6511;88.88;5.2654;312.8;27.4;;;
6511;103.90;5.9480;302.3;28.4;;;
6511;114.67;6.4690;297.9;28.8;;;
6511;128.53;7.1767;294.8;29.1;;;
6511;135.85;7.5639;294.0;29.2;;;
6511;149.45;8.3058;293.4;29.2;;;
6511;159.71;8.8819;293.6;29.2;;;
6511;169.98;9.4682;294.1;29.2;;;
6511;180.68;10.0900;294.8;29.1;;;
6511;185.19;10.3547;295.2;29.1;;;
6511;196.89;11.0487;296.3;29.0;;;
6511;209.67;11.8110;297.4;28.9;;;
