Type;Gear;transg;RPM_e;Torque_e;Efficiency;transf;P_max
RWD;1;4.717;500;25;85.05378529;2.65;250000
;1;4.717;750;25;85.31124699;;
;1;4.717;1000;25;84.65479597;;
;1;4.717;1250;25;84.22337016;;
;1;4.717;1500;25;83.99427686;;
;1;4.717;1750;25;83.36536702;;
;1;4.717;2000;25;82.66131505;;
;1;4.717;2500;25;81.46999143;;
;1;4.717;3000;25;79.72190494;;
;1;4.717;4000;25;75.05361722;;
;1;4.717;5000;25;68.37918548;;
;1;4.717;500;50;91.04466074;;
;1;4.717;750;50;91.38434501;;
;1;4.717;1000;50;91.31194415;;
;1;4.717;1250;50;91.07660532;;
;1;4.717;1500;50;90.935931;;
;1;4.717;1750;50;90.74174897;;
;1;4.717;2000;50;90.58443808;;
;1;4.717;2500;50;89.75719225;;
;1;4.717;3000;50;88.87008431;;
;1;4.717;4000;50;86.6238623;;
;1;4.717;5000;50;82.96631342;;
;1;4.717;500;75;93.15621551;;
;1;4.717;750;75;93.55665358;;
;1;4.717;1000;75;93.45127376;;
;1;4.717;1250;75;93.41482579;;
;1;4.717;1500;75;93.33255711;;
;1;4.717;1750;75;93.22139429;;
;1;4.717;2000;75;93.19764912;;
;1;4.717;2500;75;92.66128091;;
;1;4.717;3000;75;92.07234885;;
;1;4.717;4000;75;90.29871;;
;1;4.717;5000;75;88.07423628;;
;1;4.717;750;100;94.35000115;;
;1;4.717;1000;100;94.340747;;
;1;4.717;1250;100;94.28256492;;
;1;4.717;1500;100;94.22498384;;
;1;4.717;1750;100;94.23476516;;
;1;4.717;2000;100;94.09965458;;
;1;4.717;2500;100;93.80929295;;
;1;4.717;3000;100;93.22743364;;
;1;4.717;4000;100;92.08658943;;
;1;4.717;5000;100;90.39971869;;
;1;4.717;1500;150;95.07896454;;
;1;4.717;1750;150;95.03462306;;
;1;4.717;2000;150;94.961516;;
;1;4.717;2500;150;94.8816238;;
;2;3.143;500;25;84.25881306;;
;2;3.143;750;25;84.07628542;;
;2;3.143;1000;25;83.65485703;;
;2;3.143;1250;25;83.41201063;;
;2;3.143;1500;25;82.98291485;;
;2;3.143;1750;25;82.53694652;;
;2;3.143;2000;25;82.08975325;;
;2;3.143;2500;25;80.45960516;;
;2;3.143;3000;25;78.80433918;;
;2;3.143;4000;25;73.39500637;;
;2;3.143;5000;25;63.16717344;;
;2;3.143;500;50;90.58547555;;
;2;3.143;750;50;90.70624639;;
;2;3.143;1000;50;90.44926596;;
;2;3.143;1250;50;90.4086345;;
;2;3.143;1500;50;90.17608853;;
;2;3.143;1750;50;90.04036632;;
;2;3.143;2000;50;89.74366767;;
;2;3.143;2500;50;89.07360777;;
;2;3.143;3000;50;88.09626083;;
;2;3.143;4000;50;85.40090811;;
;2;3.143;5000;50;81.48056421;;
;2;3.143;500;75;92.69027682;;
;2;3.143;750;75;92.76640457;;
;2;3.143;1000;75;92.76841229;;
;2;3.143;1250;75;92.718261;;
;2;3.143;1500;75;92.7332194;;
;2;3.143;1750;75;92.57090194;;
;2;3.143;2000;75;92.40988488;;
;2;3.143;2500;75;92.03693876;;
;2;3.143;3000;75;91.35840264;;
;2;3.143;4000;75;89.45989676;;
;2;3.143;5000;75;86.89926399;;
;2;3.143;500;100;93.65091868;;
;2;3.143;750;100;93.8842042;;
;2;3.143;1000;100;93.85820714;;
;2;3.143;1250;100;93.88210199;;
;2;3.143;1500;100;93.83483844;;
;2;3.143;1750;100;93.7742407;;
;2;3.143;2000;100;93.67984078;;
;2;3.143;2500;100;93.36969633;;
;2;3.143;3000;100;92.84070088;;
;2;3.143;4000;100;91.4547237;;
;2;3.143;5000;100;89.35745503;;
;2;3.143;500;150;94.19070086;;
;2;3.143;750;150;94.58801325;;
;2;3.143;1000;150;94.59276673;;
;2;3.143;1250;150;94.65054309;;
;2;3.143;1500;150;94.66023225;;
;2;3.143;1750;150;94.71838126;;
;2;3.143;2000;150;94.65617124;;
;2;3.143;2500;150;94.48215488;;
;2;3.143;3000;150;94.2292485;;
;2;3.143;4000;150;93.30627277;;
;2;3.143;5000;150;92.25935036;;
;2;3.143;1000;200;94.84799527;;
;2;3.143;1250;200;94.82328149;;
;2;3.143;1500;200;94.94116292;;
;2;3.143;1750;200;95.08171645;;
;2;3.143;2000;200;95.02136;;
;2;3.143;2500;200;94.98773901;;
;2;3.143;3000;200;94.77595729;;
;2;3.143;4000;200;94.19080948;;
;2;3.143;5000;200;93.4088239;;
;3;2.106;500;25;83.09704088;;
;3;2.106;750;25;82.05086074;;
;3;2.106;1000;25;81.29624827;;
;3;2.106;1250;25;81.4108831;;
