Type;Gear;transg;RPM_e;Torque_e;Efficiency;transf;P_max
FWD;1;4.58;500;25;78.76306168;2.89;134000
;1;4.58;750;25;73.21434723;;
;1;4.58;1000;25;72.27090678;;
;1;4.58;1250;25;72.2198723;;
;1;4.58;1500;25;72.10517083;;
;1;4.58;1750;25;71.49339327;;
;1;4.58;2000;25;70.97688838;;
;1;4.58;2500;25;70.22151221;;
;1;4.58;3000;25;69.37991968;;
;1;4.58;4000;25;67.86989627;;
;1;4.58;5000;25;63.66522188;;
;1;4.58;500;50;85.709397;;
;1;4.58;750;50;83.4904278;;
;1;4.58;1000;50;83.36994074;;
;1;4.58;1250;50;83.75526598;;
;1;4.58;1500;50;83.60324639;;
;1;4.58;1750;50;83.29620662;;
;1;4.58;2000;50;83.07932565;;
;1;4.58;2500;50;82.77782256;;
;1;4.58;3000;50;82.47036612;;
;1;4.58;4000;50;81.85759155;;
;1;4.58;5000;50;79.98681574;;
;1;4.58;500;75;87.6397115;;
;1;4.58;750;75;86.88637433;;
;1;4.58;1000;75;86.82637432;;
;1;4.58;1250;75;87.2597861;;
;1;4.58;1500;75;87.24469652;;
;1;4.58;1750;75;87.14902753;;
;1;4.58;2000;75;87.00203211;;
;1;4.58;2500;75;86.87118069;;
;1;4.58;3000;75;86.57096254;;
;1;4.58;4000;75;86.24176144;;
;1;4.58;5000;75;85.06640534;;
;1;4.58;500;100;88.68907474;;
;1;4.58;750;100;88.32727073;;
;1;4.58;1000;100;88.5276012;;
;1;4.58;1250;100;89.10556872;;
;1;4.58;1500;100;88.89993038;;
;1;4.58;1750;100;88.93495334;;
;1;4.58;2000;100;88.84928108;;
;1;4.58;2500;100;88.90327109;;
;1;4.58;3000;100;88.68667991;;
;1;4.58;4000;100;88.41025622;;
;1;4.58;5000;100;87.44838346;;
;1;4.58;500;150;89.58585045;;
;1;4.58;750;150;89.40101117;;
;1;4.58;1000;150;89.83718162;;
;1;4.58;1250;150;90.46372007;;
;1;4.58;1500;150;90.41937958;;
;1;4.58;1750;150;90.49419689;;
;1;4.58;2000;150;90.59669386;;
;1;4.58;2500;150;90.59189916;;
;1;4.58;3000;150;90.40985204;;
;1;4.58;4000;150;90.26974771;;
;1;4.58;5000;150;89.81521893;;
;2;2.96;500;25;83.18314059;;
;2;2.96;750;25;81.77085671;;
;2;2.96;1000;25;77.27142466;;
;2;2.96;1250;25;72.97973802;;
;2;2.96;1500;25;72.56904706;;
;2;2.96;1750;25;71.62919412;;
;2;2.96;2000;25;71.02475333;;
;2;2.96;2500;25;70.54311786;;
;2;2.96;3000;25;69.77941824;;
;2;2.96;4000;25;66.94076446;;
;2;2.96;5000;25;62.35254691;;
;2;2.96;500;50;87.93580132;;
;2;2.96;750;50;87.81735189;;
;2;2.96;1000;50;85.93004683;;
;2;2.96;1250;50;84.30434585;;
;2;2.96;1500;50;83.69842285;;
;2;2.96;1750;50;83.50805073;;
;2;2.96;2000;50;83.41549221;;
;2;2.96;2500;50;83.05914864;;
;2;2.96;3000;50;82.92128585;;
;2;2.96;4000;50;81.49917839;;
;2;2.96;5000;50;79.36680706;;
;2;2.96;500;75;89.11534043;;
;2;2.96;750;75;89.7889912;;
;2;2.96;1000;75;88.53948106;;
;2;2.96;1250;75;87.61073456;;
;2;2.96;1500;75;87.44549845;;
;2;2.96;1750;75;87.32026579;;
;2;2.96;2000;75;87.29786648;;
;2;2.96;2500;75;87.07776841;;
;2;2.96;3000;75;86.97045789;;
;2;2.96;4000;75;86.11660182;;
;2;2.96;5000;75;84.71543946;;
;2;2.96;500;100;89.78089414;;
;2;2.96;750;100;90.49577912;;
;2;2.96;1000;100;89.81007839;;
;2;2.96;1250;100;89.37291754;;
;2;2.96;1500;100;88.99463674;;
;2;2.96;1750;100;89.06974521;;
;2;2.96;2000;100;89.08236778;;
;2;2.96;2500;100;89.08951541;;
;2;2.96;3000;100;89.03353981;;
;2;2.96;4000;100;88.27756422;;
;2;2.96;5000;100;87.19667598;;
;2;2.96;500;150;90.36066545;;
;2;2.96;750;150;90.85535273;;
;2;2.96;1000;150;90.71187432;;
;2;2.96;1250;150;90.6563754;;
;2;2.96;1500;150;90.50476534;;
;2;2.96;1750;150;90.58388222;;
;2;2.96;2000;150;90.53850081;;
;2;2.96;2500;150;90.70442161;;
;2;2.96;3000;150;90.64285399;;
;2;2.96;4000;150;90.18128638;;
;2;2.96;5000;150;89.65413183;;
;2;2.96;500;200;89.78557501;;
;2;2.96;750;200;90.96156467;;
;2;2.96;1000;200;90.66419682;;
;2;2.96;1250;200;90.55684121;;
;2;2.96;1500;200;91.04918396;;
;2;2.96;1750;200;91.08036908;;
;2;2.96;2000;200;91.1404218;;
;2;2.96;2500;200;91.21773385;;
;2;2.96;3000;200;91.15038534;;
;2;2.96;4000;200;90.98303682;;
;2;2.96;5000;200;90.7099094;;
;3;1.91;500;25;83.55307148;;
;3;1.91;750;25;79.74870306;;
;3;1.91;1000;25;74.29424241;;
;3;1.91;1250;25;70.01181934;;
;3;1.91;1500;25;69.65331026;;
;3;1.91;1750;25;69.05494111;;
;3;1.91;2000;25;67.78706179;;
;3;1.91;2500;25;66.16989534;;
;3;1.91;3000;25;65.45299665;;
;3;1.91;4000;25;61.23399687;;
