Type;Gear;transg;RPM_e;Torque_e;Efficiency;transf;P_max
FWD;1;5.25;1005;14.6;73.14;2.802;151000
;1;5.25;1004;36.7;83.37;;
;1;5.25;1005;69;85.39;;
;1;5.25;1004;79.5;85.52;;
;1;5.25;1502;3.2;-0.7;;
;1;5.25;1504;26.7;80.81;;
;1;5.25;1504;47.8;84.81;;
;1;5.25;1504;65.5;85.61;;
;1;5.25;1504;81.4;85.8;;
;1;5.25;1505;80.7;85.97;;
;1;5.25;2004;27.4;80.45;;
;1;5.25;2006;44.8;84.42;;
;1;5.25;2005;66.5;86.11;;
;1;5.25;2005;75;86.21;;
;1;5.25;2505;33.7;81;;
;1;5.25;2504;52.6;84.43;;
;1;5.25;2508;66.8;85.58;;
;1;5.25;2505;76.8;86.03;;
;1;5.25;3083;31.6;77.79;;
;1;5.25;3085;50.5;82.78;;
;1;5.25;3082;64.5;84.5;;
;1;5.25;3082;76.6;85.21;;
;2;3.028;1001;18.5;82.63;;
;2;3.028;1001;39.1;86.93;;
;2;3.028;1001;70.6;88.6;;
;2;3.028;1002;89.9;88.69;;
;2;3.028;1002;105;88.63;;
;2;3.028;1001;150.5;87.91;;
;2;3.028;1511;23.4;85.52;;
;2;3.028;1512;44;88.27;;
;2;3.028;1510;62.6;89.19;;
;2;3.028;1512;78.6;89.59;;
;2;3.028;1513;99.1;89.38;;
;2;3.028;1512;133.7;88.85;;
;2;3.028;2002;25.3;84.32;;
;2;3.028;2000;57.9;88.98;;
;2;3.028;2001;72.6;89.12;;
;2;3.028;2000;90.9;89.45;;
;2;3.028;2000;122.3;89.38;;
;2;3.028;2554;29;84.4;;
;2;3.028;2555;46.6;87.61;;
;2;3.028;2555;63.5;88.76;;
;2;3.028;2552;73.6;89.12;;
;2;3.028;2553;90.8;89.5;;
;2;3.028;2556;122.5;89.61;;
;2;3.028;2555;138.9;89.44;;
;2;3.028;3020;27.9;81.58;;
;2;3.028;3021;46.7;86.09;;
;2;3.028;3020;61.4;87.61;;
;2;3.028;3022;74.2;88.44;;
;2;3.028;3021;89.4;88.99;;
;2;3.028;3021;118.3;89.49;;
;2;3.028;3021;131.4;89.54;;
;3;1.95;1002;23.4;85.32;;
;3;1.95;1003;39.3;88.73;;
;3;1.95;1002;71.2;90.72;;
;3;1.95;1002;89.8;91;;
;3;1.95;1002;104;91.16;;
;3;1.95;1002;148.5;90.85;;
;3;1.95;1002;147.9;90.79;;
;3;1.95;1506;11;65.13;;
;3;1.95;1507;24.1;82.49;;
;3;1.95;1506;42.5;87.78;;
;3;1.95;1506;59.7;89.56;;
;3;1.95;1506;76.3;90.48;;
;3;1.95;1507;95.1;90.97;;
;3;1.95;1506;130.8;91.22;;
;3;1.95;1506;150;91.23;;
;3;1.95;1507;177.3;91.14;;
;3;1.95;1507;178.9;91.18;;
;3;1.95;1998;22;76.87;;
;3;1.95;1998;39.3;86.61;;
;3;1.95;1998;55.9;89.13;;
;3;1.95;1998;71.1;90.32;;
;3;1.95;1998;88;91.08;;
;3;1.95;1998;118.9;91.32;;
;3;1.95;1998;145.4;91.37;;
;3;1.95;1999;175;91.33;;
;3;1.95;1998;187;91.35;;
;3;1.95;1999;207.5;91.46;;
;3;1.95;2510;28.6;81.14;;
;3;1.95;2510;47;87.15;;
;3;1.95;2510;63.8;89.37;;
;3;1.95;2510;74.5;90.24;;
;3;1.95;2510;90.1;90.67;;
;3;1.95;2510;122.5;91.45;;
;3;1.95;2510;149.3;91.74;;
;3;1.95;2510;192.8;91.64;;
;3;1.95;2510;198.5;91.64;;
;3;1.95;2999;27.4;78.91;;
;3;1.95;2999;46.3;85.57;;
;3;1.95;2999;61;87.97;;
;3;1.95;2999;74;89.35;;
;3;1.95;2999;89.6;90.26;;
;3;1.95;2999;118.4;91.4;;
;3;1.95;2999;142.4;91.68;;
;3;1.95;2999;163.6;91.9;;
