RPM;Nm;kW;%;;;
0;-363.10;11.86;0.0;;;
0;-290.53;7.58;0.0;;;
0;-235.86;5.07;0.0;;;
0;-181.66;3.10;0.0;;;
0;-129.48;1.62;0.0;;;
0;-81.95;0.70;0.0;;;
0;-50.52;0.30;0.0;;;
0;-23.67;0.08;0.0;;;
0;0.00;0.01;0.0;;;
0;9.12;0.01;0.0;;;
0;50.52;0.24;0.0;;;
0;81.95;0.64;0.0;;;
0;129.48;1.53;0.0;;;
0;181.66;2.96;0.0;;;
0;235.86;4.83;0.0;;;
0;290.53;7.22;0.0;;;
0;363.10;11.29;0.0;;;
500;-363.10;-6.61;34.8;;;
500;-290.53;-7.43;48.8;;;
500;-235.86;-6.99;56.6;;;
500;-181.66;-6.02;63.3;;;
500;-129.48;-4.90;72.2;;;
500;-81.95;-3.24;75.6;;;
500;-50.52;-2.03;76.7;;;
500;-23.67;-0.92;74.0;;;
500;0.00;0.21;0.0;;;
500;9.12;0.68;70.0;;;
500;50.52;3.22;82.2;;;
500;81.95;5.29;81.1;;;
500;129.48;8.57;79.1;;;
500;181.66;12.83;74.1;;;
500;235.86;17.46;70.7;;;
500;290.53;22.63;67.2;;;
500;363.10;30.82;61.7;;;
1000;-363.10;-25.25;66.4;;;
1000;-290.53;-22.26;73.2;;;
1000;-235.86;-19.02;77.0;;;
1000;-181.66;-15.25;80.1;;;
1000;-129.48;-11.39;84.0;;;
1000;-81.95;-7.31;85.2;;;
1000;-50.52;-4.49;84.9;;;
1000;-23.67;-1.99;80.2;;;
1000;0.00;0.37;0.0;;;
1000;9.12;1.31;72.7;;;
1000;50.52;6.04;87.6;;;
1000;81.95;9.80;87.6;;;
1000;129.48;15.63;86.8;;;
1000;181.66;22.62;84.1;;;
1000;235.86;30.11;82.0;;;
1000;290.53;38.20;79.6;;;
1000;363.10;50.19;75.8;;;
2000;-363.10;-62.47;82.2;;;
2000;-290.53;-52.06;85.6;;;
2000;-235.86;-43.25;87.6;;;
2000;-181.66;-33.88;89.1;;;
2000;-129.48;-24.62;90.8;;;
2000;-81.95;-15.63;91.1;;;
2000;-50.52;-9.50;89.8;;;
2000;-23.67;-4.21;84.9;;;
2000;0.00;0.60;0.0;;;
2000;9.12;2.50;76.3;;;
2000;50.52;11.60;91.2;;;
2000;81.95;18.63;92.1;;;
2000;129.48;29.50;91.9;;;
2000;181.66;42.01;90.6;;;
2000;235.86;55.25;89.4;;;
2000;290.53;69.22;87.9;;;
2000;363.10;88.97;85.5;;;
3000;-363.10;-99.71;87.4;;;
3000;-290.53;-81.89;89.7;;;
3000;-235.86;-67.45;91.0;;;
3000;-181.66;-52.54;92.1;;;
3000;-129.48;-37.85;93.1;;;
3000;-81.95;-23.90;92.8;;;
3000;-50.52;-14.48;91.2;;;
3000;-23.67;-6.37;85.7;;;
3000;0.00;0.89;0.0;;;
3000;9.12;3.74;76.5;;;
3000;50.52;17.18;92.4;;;
3000;81.95;27.51;93.6;;;
3000;129.48;43.36;93.8;;;
3000;181.66;61.39;93.0;;;
3000;235.86;80.43;92.1;;;
3000;290.53;100.20;91.1;;;
3000;363.10;127.75;89.3;;;
3500;-363.10;-116.97;87.9;;;
3500;-290.53;-97.10;91.2;;;
3500;-235.86;-79.95;92.5;;;
3500;-181.66;-62.11;93.3;;;
3500;-129.48;-44.50;93.8;;;
3500;-81.95;-28.07;93.4;;;
3500;-50.52;-17.01;91.9;;;
3500;-23.67;-7.43;85.7;;;
3500;0.00;1.15;0.0;;;
3500;9.12;4.48;74.5;;;
3500;50.52;19.93;92.9;;;
3500;81.95;31.91;94.1;;;
3500;129.48;50.27;94.4;;;
3500;181.66;70.84;94.0;;;
3500;235.86;92.63;93.3;;;
3500;290.53;115.42;92.3;;;
3500;363.10;148.43;89.7;;;
4000;-290.53;-112.45;92.4;;;
4000;-235.86;-92.27;93.4;;;
4000;-181.66;-71.58;94.1;;;
4000;-129.48;-51.15;94.3;;;
4000;-81.95;-32.17;93.7;;;
4000;-50.52;-19.45;91.9;;;
4000;-23.67;-8.51;85.9;;;
4000;0.00;1.24;0.0;;;
4000;9.12;5.04;75.8;;;
4000;50.52;22.78;92.9;;;
4000;81.95;36.39;94.3;;;
4000;129.48;57.17;94.9;;;
4000;181.66;80.38;94.7;;;
4000;235.86;105.00;94.1;;;
4000;290.53;130.49;93.3;;;
5000;-235.86;-115.24;93.3;;;
5000;-181.66;-89.98;94.6;;;
5000;-129.48;-64.49;95.1;;;
5000;-81.95;-40.56;94.5;;;
5000;-50.52;-24.40;92.3;;;
5000;-23.67;-10.59;85.5;;;
5000;0.00;1.63;0.0;;;
5000;9.12;6.38;74.8;;;
5000;50.52;28.40;93.1;;;
5000;81.95;45.14;95.1;;;
5000;129.48;70.94;95.6;;;
5000;181.66;100.00;95.1;;;
5000;235.86;131.35;94.0;;;
6000;-235.86;-136.13;91.9;;;
6000;-181.66;-107.09;93.8;;;
6000;-129.48;-77.06;94.7;;;
