RPM;Nm;kW;%;;;
0;-190.00;3.15;0.0;;;
0;-180.00;2.86;0.0;;;
0;-170.00;2.57;0.0;;;
0;-160.00;2.29;0.0;;;
0;-150.00;2.03;0.0;;;
0;-140.00;1.78;0.0;;;
0;-130.00;1.54;0.0;;;
0;-120.00;1.32;0.0;;;
0;-110.00;1.12;0.0;;;
0;-100.00;0.93;0.0;;;
0;-90.00;0.76;0.0;;;
0;-80.00;0.61;0.0;;;
0;-70.00;0.47;0.0;;;
0;-60.00;0.36;0.0;;;
0;-50.00;0.25;0.0;;;
0;-40.00;0.17;0.0;;;
0;-30.00;0.10;0.0;;;
0;-20.00;0.05;0.0;;;
0;-10.00;0.01;0.0;;;
0;0.00;0.00;0.0;;;
0;10.00;0.01;0.0;;;
0;20.00;0.04;0.0;;;
0;30.00;0.09;0.0;;;
0;40.00;0.16;0.0;;;
0;50.00;0.24;0.0;;;
0;60.00;0.34;0.0;;;
0;70.00;0.45;0.0;;;
0;80.00;0.58;0.0;;;
0;90.00;0.72;0.0;;;
0;100.00;0.88;0.0;;;
0;110.00;1.06;0.0;;;
0;120.00;1.26;0.0;;;
0;130.00;1.47;0.0;;;
0;140.00;1.69;0.0;;;
0;150.00;1.93;0.0;;;
0;160.00;2.19;0.0;;;
0;170.00;2.45;0.0;;;
0;180.00;2.72;0.0;;;
0;190.00;3.00;0.0;;;
500;-190.00;-5.94;59.7;;;
500;-180.00;-5.93;63.0;;;
500;-170.00;-5.81;65.2;;;
500;-160.00;-5.65;67.4;;;
500;-150.00;-5.46;69.5;;;
500;-140.00;-5.22;71.2;;;
500;-130.00;-4.93;72.5;;;
500;-120.00;-4.62;73.5;;;
500;-110.00;-4.30;74.6;;;
500;-100.00;-3.95;75.4;;;
500;-90.00;-3.59;76.3;;;
500;-80.00;-3.22;76.9;;;
500;-70.00;-2.83;77.3;;;
500;-60.00;-2.44;77.7;;;
500;-50.00;-2.03;77.5;;;
500;-40.00;-1.60;76.6;;;
500;-30.00;-1.16;74.1;;;
500;-20.00;-0.70;67.2;;;
500;-10.00;-0.22;42.4;;;
500;0.00;0.29;0.0;;;
500;10.00;0.82;64.0;;;
500;20.00;1.38;76.0;;;
500;30.00;1.96;80.2;;;
500;40.00;2.56;81.8;;;
500;50.00;3.18;82.4;;;
500;60.00;3.81;82.5;;;
500;70.00;4.46;82.3;;;
500;80.00;5.11;81.9;;;
500;90.00;5.78;81.6;;;
500;100.00;6.46;81.0;;;
500;110.00;7.15;80.5;;;
500;120.00;7.87;79.8;;;
500;130.00;8.59;79.2;;;
500;140.00;9.34;78.5;;;
500;150.00;10.13;77.5;;;
500;160.00;10.98;76.3;;;
500;170.00;11.85;75.1;;;
500;180.00;12.75;73.9;;;
500;190.00;13.77;72.2;;;
1000;-190.00;-15.24;76.6;;;
