RPM;Nm;kW;%;;;
0;-75.00;1.39;0.0;;;
0;-70.00;1.16;0.0;;;
0;-65.00;0.96;0.0;;;
0;-60.00;0.80;0.0;;;
0;-55.00;0.67;0.0;;;
0;-50.00;0.56;0.0;;;
0;-45.00;0.46;0.0;;;
0;-40.00;0.37;0.0;;;
0;-35.00;0.30;0.0;;;
0;-30.00;0.23;0.0;;;
0;-25.00;0.18;0.0;;;
0;-20.00;0.13;0.0;;;
0;-15.00;0.09;0.0;;;
0;-6.21;0.02;0.0;;;
0;0.00;0.03;0.0;;;
0;5.00;0.06;0.0;;;
0;10.00;0.09;0.0;;;
0;15.00;0.13;0.0;;;
0;20.00;0.17;0.0;;;
0;25.00;0.23;0.0;;;
0;30.00;0.30;0.0;;;
0;35.00;0.39;0.0;;;
0;40.00;0.48;0.0;;;
0;45.00;0.59;0.0;;;
0;50.00;0.71;0.0;;;
0;55.00;0.86;0.0;;;
0;60.00;1.03;0.0;;;
0;65.00;1.23;0.0;;;
0;70.00;1.44;0.0;;;
0;75.00;1.65;0.0;;;
0;80.00;1.83;0.0;;;
0;85.00;2.11;0.0;;;
0;90.00;2.40;0.0;;;
0;95.00;2.79;0.0;;;
0;100.00;3.16;0.0;;;
0;110.00;4.03;0.0;;;
391;-75.00;-1.45;47.4;;;
391;-70.00;-1.46;50.9;;;
391;-65.00;-1.44;54.2;;;
391;-60.00;-1.40;56.9;;;
391;-55.00;-1.34;59.7;;;
391;-50.00;-1.26;61.8;;;
391;-45.00;-1.16;63.3;;;
391;-40.00;-1.05;64.1;;;
391;-35.00;-0.93;64.7;;;
391;-30.00;-0.79;64.6;;;
391;-25.00;-0.65;63.6;;;
391;-20.00;-0.50;60.8;;;
391;-15.00;-0.34;55.5;;;
391;-6.21;-0.10;39.3;;;
391;0.00;0.16;0.0;;;
391;5.00;0.42;48.7;;;
391;10.00;0.68;60.5;;;
391;15.00;0.93;66.0;;;
391;20.00;1.18;69.3;;;
391;25.00;1.46;69.9;;;
391;30.00;1.75;69.9;;;
391;35.00;2.04;70.1;;;
391;40.00;2.34;69.9;;;
391;45.00;2.66;69.3;;;
391;50.00;2.99;68.5;;;
391;55.00;3.33;67.6;;;
391;60.00;3.70;66.3;;;
391;65.00;4.11;64.7;;;
391;70.00;4.54;63.0;;;
391;75.00;5.01;61.3;;;
391;80.00;5.42;60.3;;;
391;85.00;5.87;59.2;;;
391;90.00;6.36;57.9;;;
391;95.00;6.71;57.9;;;
391;100.00;7.24;56.5;;;
391;110.00;9.13;49.3;;;
781;-75.00;-4.34;70.8;;;
781;-70.00;-4.12;71.9;;;
781;-65.00;-3.84;72.2;;;
781;-60.00;-3.59;73.1;;;
781;-55.00;-3.33;74.0;;;
781;-50.00;-3.06;74.8;;;
781;-45.00;-2.77;75.1;;;
781;-40.00;-2.46;75.1;;;
781;-35.00;-2.14;74.8;;;
781;-30.00;-1.81;73.8;;;
781;-25.00;-1.48;72.2;;;
781;-20.00;-1.13;68.8;;;
781;-15.00;-0.77;62.6;;;
781;-6.21;-0.20;39.6;;;
781;0.00;0.32;0.0;;;
781;5.00;0.78;52.5;;;
781;10.00;1.24;65.9;;;
781;15.00;1.71;71.6;;;
781;20.00;2.19;74.6;;;
781;25.00;2.68;76.5;;;
781;30.00;3.16;77.7;;;
781;35.00;3.67;78.1;;;
781;40.00;4.18;78.3;;;
781;45.00;4.70;78.4;;;
781;50.00;5.25;78.0;;;
781;55.00;5.82;77.3;;;
781;60.00;6.41;76.5;;;
781;65.00;7.02;75.7;;;
781;70.00;7.68;74.6;;;
781;75.00;8.36;73.4;;;
781;80.00;9.06;72.3;;;
781;85.00;9.69;71.7;;;
781;90.00;10.51;70.0;;;
781;95.00;11.21;69.3;;;
781;100.00;11.91;68.7;;;
1172;-75.00;-7.15;77.6;;;
1172;-70.00;-6.61;77.0;;;
1172;-65.00;-6.18;77.5;;;
1172;-60.00;-5.77;78.4;;;
1172;-55.00;-5.33;79.0;;;
1172;-50.00;-4.86;79.2;;;
1172;-45.00;-4.37;79.2;;;
1172;-40.00;-3.87;78.9;;;
1172;-35.00;-3.36;78.2;;;
1172;-30.00;-2.82;76.7;;;
1172;-25.00;-2.28;74.2;;;
1172;-20.00;-1.73;70.5;;;
1172;-15.00;-1.18;63.9;;;
1172;-6.21;-0.29;37.5;;;
1172;0.00;0.57;0.0;;;
1172;5.00;1.31;46.9;;;
1172;10.00;2.00;61.3;;;
1172;15.00;2.68;68.7;;;
1172;20.00;3.36;73.0;;;
1172;25.00;4.05;75.7;;;
1172;30.00;4.76;77.4;;;
1172;35.00;5.47;78.5;;;
1172;40.00;6.20;79.1;;;
1172;45.00;6.95;79.5;;;
1172;50.00;7.71;79.6;;;
1172;55.00;8.49;79.5;;;
1172;60.00;9.29;79.2;;;
1172;65.00;10.12;78.8;;;
1172;70.00;10.92;78.7;;;
1172;75.00;11.59;79.4;;;
1172;80.00;12.48;78.6;;;
1172;85.00;13.48;77.4;;;
1172;90.00;14.45;76.5;;;
1172;95.00;15.57;74.9;;;
1172;100.00;16.56;74.1;;;
1563;-75.00;-9.88;80.5;;;
1563;-70.00;-9.35;81.6;;;
1563;-65.00;-8.72;82.0;;;
1563;-60.00;-8.07;82.2;;;
1563;-55.00;-7.37;81.8;;;
1563;-50.00;-6.68;81.6;;;
1563;-45.00;-5.98;81.3;;;
1563;-40.00;-5.29;80.9;;;
1563;-35.00;-4.58;80.0;;;
1563;-30.00;-3.85;78.5;;;
1563;-25.00;-3.13;76.4;;;
1563;-20.00;-2.38;72.7;;;
1563;-15.00;-1.63;66.3;;;
1563;-6.21;-0.33;32.0;;;
1563;0.00;0.75;0.0;;;
1563;5.00;1.67;49.1;;;
1563;10.00;2.57;63.6;;;
1563;15.00;3.45;71.0;;;
1563;20.00;4.35;75.2;;;
1563;25.00;5.27;77.6;;;
1563;30.00;6.18;79.4;;;
1563;35.00;7.11;80.6;;;
1563;40.00;8.05;81.3;;;
1563;45.00;9.00;81.8;;;
1563;50.00;9.97;82.0;;;
1563;55.00;10.94;82.3;;;
1563;60.00;11.84;82.9;;;
1563;65.00;12.83;82.9;;;
1563;70.00;13.82;82.9;;;
1563;75.00;14.90;82.4;;;
1563;80.00;16.01;81.8;;;
1563;85.00;17.09;81.4;;;
1563;90.00;18.22;80.8;;;
1563;95.00;19.75;78.7;;;
1953;-65.00;-11.13;83.7;;;
1953;-60.00;-10.30;83.9;;;
1953;-55.00;-9.44;83.9;;;
1953;-50.00;-8.53;83.5;;;
1953;-45.00;-7.64;83.0;;;
1953;-40.00;-6.73;82.2;;;
1953;-35.00;-5.82;81.3;;;
1953;-30.00;-4.89;79.6;;;
1953;-25.00;-3.94;77.0;;;
1953;-20.00;-2.98;72.9;;;
1953;-15.00;-2.03;66.2;;;
1953;-6.21;-0.31;24.5;;;
1953;0.00;0.98;0.0;;;
1953;5.00;2.07;49.4;;;
1953;10.00;3.17;64.6;;;
1953;15.00;4.25;72.2;;;
1953;20.00;5.36;76.3;;;
1953;25.00;6.46;79.2;;;
1953;30.00;7.60;80.8;;;
1953;35.00;8.75;81.8;;;
1953;40.00;9.90;82.7;;;
1953;45.00;11.03;83.4;;;
1953;50.00;12.09;84.6;;;
1953;55.00;13.25;84.9;;;
1953;60.00;14.42;85.1;;;
1953;65.00;15.62;85.1;;;
1953;70.00;16.91;84.7;;;
1953;75.00;18.28;83.9;;;
1953;80.00;19.65;83.3;;;
1953;85.00;20.81;83.6;;;
1953;90.00;21.81;84.4;;;
2344;-60.00;-12.54;85.2;;;
2344;-55.00;-11.56;85.6;;;
2344;-50.00;-10.50;85.5;;;
2344;-45.00;-9.37;84.9;;;
2344;-40.00;-8.19;83.5;;;
2344;-35.00;-7.05;82.0;;;
2344;-30.00;-5.91;80.3;;;
2344;-25.00;-4.80;78.3;;;
2344;-20.00;-3.67;74.8;;;
2344;-15.00;-2.50;68.0;;;
2344;-6.21;-0.45;29.7;;;
2344;0.00;1.16;0.0;;;
2344;5.00;2.48;49.4;;;
