RPM;Nm;kW;%;;;
0;-311.88;10.01;0.0;;;
0;-259.90;7.30;0.0;;;
0;-222.77;4.99;0.0;;;
0;-185.64;3.63;0.0;;;
0;-148.51;2.52;0.0;;;
0;-111.39;1.62;0.0;;;
0;-66.76;0.79;0.0;;;
0;-46.35;0.52;0.0;;;
0;-29.70;0.33;0.0;;;
0;0.00;0.13;0.0;;;
0;29.70;0.31;0.0;;;
0;46.35;0.49;0.0;;;
0;66.76;0.75;0.0;;;
0;111.39;1.54;0.0;;;
0;148.51;2.40;0.0;;;
0;185.64;3.45;0.0;;;
0;222.77;4.75;0.0;;;
0;259.90;6.95;0.0;;;
0;311.88;9.53;0.0;;;
1000;-311.88;-21.57;66.0;;;
1000;-259.90;-19.03;69.9;;;
1000;-222.77;-17.56;75.3;;;
1000;-185.64;-15.16;78.0;;;
1000;-148.51;-12.49;80.3;;;
1000;-111.39;-9.62;82.5;;;
1000;-66.76;-5.89;84.2;;;
1000;-46.35;-4.09;84.2;;;
1000;-29.70;-2.59;83.3;;;
1000;0.00;0.26;0.0;;;
1000;29.70;3.60;86.3;;;
1000;46.35;5.58;87.0;;;
1000;66.76;8.04;86.9;;;
1000;111.39;13.61;85.7;;;
1000;148.51;18.47;84.2;;;
1000;185.64;23.52;82.7;;;
1000;222.77;28.82;80.9;;;
1000;259.90;35.02;77.7;;;
1000;311.88;43.22;75.6;;;
2000;-311.88;-52.53;80.4;;;
2000;-259.90;-44.99;82.7;;;
2000;-222.77;-39.92;85.6;;;
2000;-185.64;-33.86;87.1;;;
2000;-148.51;-27.51;88.4;;;
2000;-111.39;-20.91;89.6;;;
2000;-66.76;-12.64;90.4;;;
2000;-46.35;-8.76;90.2;;;
2000;-29.70;-5.55;89.3;;;
2000;0.00;0.36;0.0;;;
2000;29.70;6.85;90.8;;;
2000;46.35;10.61;91.5;;;
2000;66.76;15.26;91.6;;;
2000;111.39;25.64;91.0;;;
2000;148.51;34.53;90.1;;;
2000;185.64;43.66;89.1;;;
2000;222.77;53.07;87.9;;;
2000;259.90;63.43;85.8;;;
2000;311.88;77.50;84.3;;;
3000;-311.88;-84.26;86.0;;;
3000;-259.90;-71.41;87.5;;;
3000;-222.77;-62.56;89.4;;;
3000;-185.64;-52.72;90.4;;;
3000;-148.51;-42.58;91.3;;;
3000;-111.39;-32.20;92.0;;;
3000;-66.76;-19.38;92.4;;;
3000;-46.35;-13.40;92.1;;;
3000;-29.70;-8.49;91.0;;;
3000;0.00;0.48;0.0;;;
3000;29.70;10.12;92.2;;;
3000;46.35;15.66;93.0;;;
3000;66.76;22.49;93.2;;;
3000;111.39;37.65;92.9;;;
3000;148.51;50.54;92.3;;;
3000;185.64;63.66;91.6;;;
3000;222.77;77.06;90.8;;;
3000;259.90;91.40;89.3;;;
3000;311.88;111.05;88.2;;;
4000;-311.88;-115.12;88.1;;;
4000;-259.90;-97.63;89.7;;;
4000;-222.77;-85.21;91.3;;;
4000;-185.64;-71.70;92.2;;;
4000;-148.51;-57.81;92.9;;;
4000;-111.39;-43.58;93.4;;;
4000;-66.76;-26.10;93.3;;;
4000;-46.35;-18.02;92.8;;;
4000;-29.70;-11.41;91.7;;;
4000;0.00;0.63;0.0;;;
4000;29.70;13.42;92.7;;;
4000;46.35;20.74;93.6;;;
4000;66.76;29.74;94.0;;;
4000;111.39;49.58;94.1;;;
4000;148.51;66.40;93.7;;;
4000;185.64;83.53;93.1;;;
4000;222.77;101.03;92.4;;;
4000;259.90;119.56;91.1;;;
4000;311.88;145.42;89.8;;;
5000;-259.90;-122.50;90.0;;;
5000;-222.77;-106.55;91.3;;;
5000;-185.64;-89.85;92.4;;;
5000;-148.51;-72.52;93.3;;;
5000;-111.39;-54.76;93.9;;;
5000;-66.76;-32.91;94.1;;;
5000;-46.35;-22.72;93.6;;;
5000;-29.70;-14.35;92.3;;;
5000;0.00;0.81;0.0;;;
5000;29.70;16.69;93.2;;;
5000;46.35;25.74;94.3;;;
5000;66.76;36.91;94.7;;;
5000;111.39;61.71;94.5;;;
5000;148.51;82.75;94.0;;;
5000;185.64;104.20;93.3;;;
5000;222.77;126.25;92.4;;;
5000;259.90;149.02;91.3;;;
6000;-222.77;-125.86;89.9;;;
6000;-185.64;-107.10;91.8;;;
6000;-148.51;-86.84;93.1;;;
6000;-111.39;-65.62;93.8;;;
6000;-66.76;-39.46;94.1;;;
6000;-46.35;-27.27;93.6;;;
6000;-29.70;-17.26;92.5;;;
6000;0.00;0.89;0.0;;;
6000;29.70;19.98;93.4;;;
6000;46.35;30.88;94.3;;;
6000;66.76;44.31;94.7;;;
6000;111.39;74.15;94.4;;;
6000;148.51;99.48;93.8;;;
6000;185.64;125.73;92.8;;;
6000;222.77;153.41;91.2;;;
7000;-185.64;-123.15;90.5;;;
7000;-148.51;-100.51;92.3;;;
7000;-111.39;-76.27;93.4;;;
7000;-66.76;-45.86;93.7;;;
7000;-46.35;-31.69;93.3;;;
7000;-29.70;-20.05;92.1;;;
7000;0.00;1.07;0.0;;;
7000;29.70;23.40;93.1;;;
7000;46.35;36.15;94.0;;;
7000;66.76;51.86;94.4;;;
7000;111.39;86.78;94.1;;;
7000;148.51;116.83;93.2;;;
7000;185.64;148.40;91.7;;;
8000;-148.51;-113.33;91.1;;;
8000;-111.39;-86.53;92.7;;;
8000;-66.76;-52.16;93.3;;;
8000;-46.35;-36.01;92.7;;;
8000;-29.70;-22.73;91.3;;;
8000;0.00;1.39;0.0;;;
